candidate_count,scenario,p_safe,replicates,reserve_probability,reserve_ci95_low,reserve_ci95_high,selected_gate_probability_given_reserve,unconditional_selected_qualification_probability,unconditional_selected_ci95_low,unconditional_selected_ci95_high,candidate_and_selected_joint_probability,candidate_gate_and_reserve_probability,inference_aligned_selected_probability_given_reserve,unconditional_inference_aligned_qualification_probability,candidate_and_inference_aligned_joint_probability,selected_pass_given_full_candidate_failure,selected_pass_given_candidate_condition_failure,selected_rank_pass_given_reserve,selected_effective_rank_pass_given_reserve,selected_condition_pass_given_reserve,selected_pair_cosine_pass_given_reserve,selected_cross_block_spread_pass_given_reserve
16,WEAK_AXIS4,0.7,20000,0.82395,0.8186095393967011,0.8291660404425486,0.7224952970447236,0.5953,0.5884798418491167,0.6020835560785899,0.1443,0.1719,0.9764548819709934,0.80455,0.1717,0.6916647496357641,0.691717791411043,1.0,0.9765762485587718,0.7289884094908672,0.9998786334122216,1.0
16,WEAK_AXIS4,0.75,20000,0.9202,0.916363231977177,0.9238753809212726,0.7259291458378614,0.668,0.6614416342643443,0.6744938416208046,0.16075,0.1921,0.9760378178656813,0.89815,0.19195,0.6966762807306689,0.696724126090241,1.0,0.9762008259074114,0.7319061073679635,0.9998369919582699,1.0
16,WEAK_AXIS4,0.775,20000,0.9517,0.9486409069288971,0.9545856076980178,0.723757486602921,0.6888,0.6823477386956704,0.6951797484895443,0.16515,0.1989,0.9751497320584218,0.92805,0.19875,0.6956030818278427,0.695582862836267,1.0,0.9753073447514973,0.7299043816328675,0.9998423873069244,1.0
16,WEAK_AXIS4,0.8,20000,0.97295,0.9706092185576898,0.9751091345368408,0.7259365846138034,0.7063,0.6999486804560214,0.7125720854672298,0.16935,0.2028,0.9756924816280385,0.9493,0.20275,0.697201843796663,0.6971821841319309,1.0,0.9758466519348373,0.7317436661698957,0.9998458296932011,1.0
16,WEAK_AXIS4,0.85,20000,0.99495,0.9938680784831044,0.9958418250249577,0.7307904919845218,0.7271,0.7208833205181554,0.7332294567051617,0.17545,0.2083,0.9752751394542439,0.97035,0.20815,0.7012648573062988,0.7012458682939232,1.0,0.9752751394542439,0.7375244987185285,1.0,1.0
16,WEAK_AXIS4,0.9,20000,0.9995,0.9990797771249671,0.9997283788549844,0.729664832416208,0.7293,0.7230985326449053,0.7354133996197649,0.1769,0.20935,0.9739869934967483,0.9735,0.20895,0.6991077643485414,0.699069679134232,1.0,0.9740370185092546,0.7366183091545773,0.9999499749874937,1.0
16,MODERATE_AXIS4,0.6,20000,0.52585,0.5189254465842377,0.5327646251516618,0.7260625653703527,0.3818,0.3750901993170923,0.3885551980065708,0.08925,0.10715,0.9749928686887895,0.5127,0.10695,0.6987102937664199,0.6986743102830527,1.0,0.9751830369877341,0.7332889607302463,0.9998098317010554,1.0
16,MODERATE_AXIS4,0.65,20000,0.68895,0.682498557759964,0.6953288718144339,0.7173234632411641,0.4942,0.48727272617751877,0.501129501440732,0.11655,0.1415,0.975107046955512,0.6718,0.14115,0.6898346880993698,0.689806357325539,1.0,0.9753973437840192,0.7242180129182089,0.9997097031714929,1.0
16,MODERATE_AXIS4,0.7,20000,0.82575,0.8204305066268135,0.8309443818826342,0.7195882531032395,0.5942,0.5873771117172993,0.6009867086897304,0.14055,0.17165,0.9752951861943687,0.80535,0.17155,0.6935483870967742,0.6935249598654537,1.0,0.9754162882228278,0.7266727217680896,0.9998183469573115,1.0
16,MODERATE_AXIS4,0.75,20000,0.9213,0.9174867539336058,0.9249514364855205,0.721643330077065,0.66485,0.6582768341588069,0.6713598515534954,0.1594,0.19285,0.9752523607945295,0.8985,0.1927,0.6938705470519596,0.6938971648246035,1.0,0.9755237164875719,0.7293498317594703,0.9997286443069575,1.0
