n,rollouts,random_controls,transfer_fraction,replicates,true_c,true_delta_c,expected_c_ci_width,expected_delta_c_ci_width,power_c_lower_gt_zero,power_delta_c_lower_gt_zero,probability_c_above_every_random,split_half_sign_consistency,joint_frozen_rule_probability
100,4,8,0.75,100000,0.0446771224937344,0.02903254229323309,0.06117505088010684,0.0508968282156022,0.81588,0.60934,0.61571,0.9678,0.44182
100,4,8,1.0,100000,0.05435463659147877,0.03871005639097745,0.06117505088010684,0.0508968282156022,0.93565,0.84601,0.79173,0.99617,0.71171
120,2,4,0.0,100000,0.015644580200501315,0.0,0.056785789815158645,0.04724502142178479,0.19044,0.02581,0.19036,0.18447,0.00303
120,2,4,0.5,100000,0.03499960839599004,0.019355028195488726,0.056785789815158645,0.04724502142178479,0.67771,0.36396,0.57539,0.88095,0.24711
120,2,4,0.75,100000,0.0446771224937344,0.02903254229323309,0.056785789815158645,0.04724502142178479,0.86817,0.67213,0.76358,0.98211,0.55979
120,2,4,1.0,100000,0.05435463659147877,0.03871005639097745,0.056785789815158645,0.04724502142178479,0.96425,0.8936,0.89118,0.99852,0.81632
120,2,8,0.0,100000,0.015644580200501315,0.0,0.056785789815158645,0.04724502142178479,0.18941,0.02533,0.09905,0.18415,0.0021
120,2,8,0.5,100000,0.03499960839599004,0.019355028195488726,0.056785789815158645,0.04724502142178479,0.67776,0.36556,0.43691,0.88175,0.21529
120,2,8,0.75,100000,0.0446771224937344,0.02903254229323309,0.056785789815158645,0.04724502142178479,0.86902,0.67415,0.65766,0.98208,0.51092
120,2,8,1.0,100000,0.05435463659147877,0.03871005639097745,0.056785789815158645,0.04724502142178479,0.96339,0.8938,0.82833,0.99877,0.77179
120,4,4,0.0,100000,0.015644580200501315,0.0,0.05584492553926798,0.04646223486525124,0.19511,0.02536,0.18945,0.18559,0.00309
120,4,4,0.5,100000,0.03499960839599004,0.019355028195488726,0.05584492553926798,0.04646223486525124,0.69128,0.37295,0.58135,0.88048,0.25409
120,4,4,0.75,100000,0.0446771224937344,0.02903254229323309,0.05584492553926798,0.04646223486525124,0.88039,0.69045,0.77013,0.98189,0.5761
120,4,4,1.0,100000,0.05435463659147877,0.03871005639097745,0.05584492553926798,0.04646223486525124,0.96813,0.9045,0.89813,0.9986,0.8305
120,4,8,0.0,100000,0.015644580200501315,0.0,0.05584492553926798,0.04646223486525124,0.19342,0.02519,0.09767,0.18627,0.00236
120,4,8,0.5,100000,0.03499960839599004,0.019355028195488726,0.05584492553926798,0.04646223486525124,0.68993,0.37268,0.44399,0.88083,0.22034
120,4,8,0.75,100000,0.0446771224937344,0.02903254229323309,0.05584492553926798,0.04646223486525124,0.87962,0.68629,0.66633,0.98154,0.52336
120,4,8,1.0,100000,0.05435463659147877,0.03871005639097745,0.05584492553926798,0.04646223486525124,0.96863,0.90348,0.83779,0.99861,0.78567
150,2,4,0.0,100000,0.015644580200501315,0.0,0.05079075447308398,0.04225723179901783,0.22431,0.02526,0.18334,0.19863,0.00293
150,2,4,0.5,100000,0.03499960839599004,0.019355028195488726,0.05079075447308398,0.04225723179901783,0.77321,0.43722,0.6186,0.92146,0.31765
150,2,4,0.75,100000,0.0446771224937344,0.02903254229323309,0.05079075447308398,0.04225723179901783,0.93241,0.76813,0.81206,0.99285,0.66607
150,2,4,1.0,100000,0.05435463659147877,0.03871005639097745,0.05079075447308398,0.04225723179901783,0.98688,0.94895,0.92681,0.99969,0.89102
150,2,8,0.0,100000,0.015644580200501315,0.0,0.05079075447308398,0.04225723179901783,0.22512,0.02513,0.09618,0.19491,0.00246
