metric,primary,audit,absolute_difference
D.22.8,-0.008333333333333333,-0.008333333333333333,0.0
D.22.9,-0.008333333333333333,-0.008333333333333333,0.0
D.23.0,0.016666666666666666,0.016666666666666666,0.0
D.23.1,0.025,0.025,0.0
D.23.10,0.041666666666666664,0.041666666666666664,0.0
D.23.11,0.016666666666666666,0.016666666666666666,0.0
D.23.12,0.016666666666666666,0.016666666666666666,0.0
D.23.13,-0.008333333333333333,-0.008333333333333333,0.0
D.23.14,0.03333333333333333,0.03333333333333333,0.0
D.23.15,0.008333333333333333,0.008333333333333333,0.0
D.23.16,0.008333333333333333,0.008333333333333333,0.0
D.23.17,0.008333333333333333,0.008333333333333333,0.0
D.23.18,-0.008333333333333333,-0.008333333333333333,0.0
D.23.19,0.008333333333333333,0.008333333333333333,0.0
D.23.2,0.016666666666666666,0.016666666666666666,0.0
D.23.20,0.016666666666666666,0.016666666666666666,0.0
D.23.21,0.025,0.025,0.0
D.23.22,0.0,0.0,0.0
D.23.23,0.0,0.0,0.0
D.23.3,0.016666666666666666,0.016666666666666666,0.0
D.23.4,0.008333333333333333,0.008333333333333333,0.0
D.23.5,0.016666666666666666,0.016666666666666666,0.0
D.23.6,0.05,0.05,0.0
D.23.7,0.016666666666666666,0.016666666666666666,0.0
D.23.8,0.025,0.025,0.0
D.23.9,-0.025,-0.025,0.0
D.3.0,0.016666666666666666,0.016666666666666666,0.0
D.3.1,0.016666666666666666,0.016666666666666666,0.0
D.3.10,0.03333333333333333,0.03333333333333333,0.0
D.3.11,0.016666666666666666,0.016666666666666666,0.0
D.3.12,0.008333333333333333,0.008333333333333333,0.0
D.3.13,0.008333333333333333,0.008333333333333333,0.0
D.3.14,0.025,0.025,0.0
D.3.15,0.025,0.025,0.0
D.3.16,-0.008333333333333333,-0.008333333333333333,0.0
D.3.17,0.03333333333333333,0.03333333333333333,0.0
D.3.18,0.008333333333333333,0.008333333333333333,0.0
D.3.19,0.0,0.0,0.0
D.3.2,-0.008333333333333333,-0.008333333333333333,0.0
D.3.20,0.0,0.0,0.0
D.3.21,0.0,0.0,0.0
D.3.22,0.008333333333333333,0.008333333333333333,0.0
D.3.23,0.016666666666666666,0.016666666666666666,0.0
D.3.3,0.0,0.0,0.0
D.3.4,0.008333333333333333,0.008333333333333333,0.0
D.3.5,0.0,0.0,0.0
D.3.6,0.03333333333333333,0.03333333333333333,0.0
D.3.7,0.016666666666666666,0.016666666666666666,0.0
D.3.8,0.008333333333333333,0.008333333333333333,0.0
D.3.9,-0.008333333333333333,-0.008333333333333333,0.0
D.4.0,0.008333333333333333,0.008333333333333333,0.0
D.4.1,0.016666666666666666,0.016666666666666666,0.0
D.4.10,0.016666666666666666,0.016666666666666666,0.0
D.4.11,0.016666666666666666,0.016666666666666666,0.0
D.4.12,-0.008333333333333333,-0.008333333333333333,0.0
D.4.13,0.008333333333333333,0.008333333333333333,0.0
D.4.14,0.025,0.025,0.0
D.4.15,0.0,0.0,0.0
D.4.16,0.008333333333333333,0.008333333333333333,0.0
D.4.17,0.016666666666666666,0.016666666666666666,0.0
D.4.18,-0.008333333333333333,-0.008333333333333333,0.0
D.4.19,-0.008333333333333333,-0.008333333333333333,0.0
D.4.2,0.008333333333333333,0.008333333333333333,0.0
D.4.20,0.008333333333333333,0.008333333333333333,0.0
D.4.21,0.016666666666666666,0.016666666666666666,0.0
D.4.22,0.008333333333333333,0.008333333333333333,0.0
D.4.23,0.008333333333333333,0.008333333333333333,0.0
D.4.3,0.008333333333333333,0.008333333333333333,0.0
D.4.4,0.0,0.0,0.0
D.4.5,0.008333333333333333,0.008333333333333333,0.0
D.4.6,0.016666666666666666,0.016666666666666666,0.0
D.4.7,0.016666666666666666,0.016666666666666666,0.0
D.4.8,0.008333333333333333,0.008333333333333333,0.0
D.4.9,-0.008333333333333333,-0.008333333333333333,0.0
D.5.0,0.008333333333333333,0.008333333333333333,0.0
D.5.1,0.0,0.0,0.0
D.5.10,0.025,0.025,0.0
D.5.11,0.016666666666666666,0.016666666666666666,0.0
D.5.12,0.0,0.0,0.0
D.5.13,0.008333333333333333,0.008333333333333333,0.0
D.5.14,0.0,0.0,0.0
D.5.15,0.03333333333333333,0.03333333333333333,0.0
D.5.16,0.0,0.0,0.0
D.5.17,0.008333333333333333,0.008333333333333333,0.0
D.5.18,0.008333333333333333,0.008333333333333333,0.0
D.5.19,0.016666666666666666,0.016666666666666666,0.0
D.5.2,0.016666666666666666,0.016666666666666666,0.0
D.5.20,0.008333333333333333,0.008333333333333333,0.0
D.5.21,0.008333333333333333,0.008333333333333333,0.0
D.5.22,0.0,0.0,0.0
D.5.23,0.016666666666666666,0.016666666666666666,0.0
D.5.3,0.0,0.0,0.0
D.5.4,0.008333333333333333,0.008333333333333333,0.0
D.5.5,0.0,0.0,0.0
D.5.6,0.016666666666666666,0.016666666666666666,0.0
D.5.7,0.025,0.025,0.0
D.5.8,0.008333333333333333,0.008333333333333333,0.0
D.5.9,-0.025,-0.025,0.0
D.6.0,0.041666666666666664,0.041666666666666664,0.0
D.6.1,0.008333333333333333,0.008333333333333333,0.0
D.6.10,0.008333333333333333,0.008333333333333333,0.0
D.6.11,0.06666666666666667,0.06666666666666667,0.0
D.6.12,0.016666666666666666,0.016666666666666666,0.0
D.6.13,0.03333333333333333,0.03333333333333333,0.0
D.6.14,0.008333333333333333,0.008333333333333333,0.0
D.6.15,0.06666666666666667,0.06666666666666667,0.0
D.6.16,0.008333333333333333,0.008333333333333333,0.0
D.6.17,0.05,0.05,0.0
D.6.18,0.008333333333333333,0.008333333333333333,0.0
D.6.19,0.025,0.025,0.0
D.6.2,0.025,0.025,0.0
D.6.20,0.025,0.025,0.0
D.6.21,0.016666666666666666,0.016666666666666666,0.0
D.6.22,0.016666666666666666,0.016666666666666666,0.0
D.6.23,0.05,0.05,0.0
D.6.3,0.03333333333333333,0.03333333333333333,0.0
D.6.4,0.016666666666666666,0.016666666666666666,0.0
D.6.5,0.016666666666666666,0.016666666666666666,0.0
D.6.6,0.0,0.0,0.0
D.6.7,0.06666666666666667,0.06666666666666667,0.0
D.6.8,0.016666666666666666,0.016666666666666666,0.0
D.6.9,-0.016666666666666666,-0.016666666666666666,0.0
D.7.0,0.0,0.0,0.0
D.7.1,0.03333333333333333,0.03333333333333333,0.0
D.7.10,0.058333333333333334,0.058333333333333334,0.0
D.7.11,-0.008333333333333333,-0.008333333333333333,0.0
