layer,paired_mean_gap,positive_gap_fraction,standardized_paired_effect,auroc,direction_pre_normalization_norm,direction_hash,ordinary_activation_scale,source_gap_activation_scale_ratio,source_eligible
11,1.21676898246666,1.0,37.39616193718767,1.0,1.2155982569054768,af3b2aa7c8a992b0e00492172e91e9b0d13d1ece262cfe91c0546a62a3154a92,8.481427944203835,0.14346275066785114,True
12,1.3157722684624447,1.0,43.48602535963797,1.0,1.3095785364444807,1fc7867914edce101d34c3e56dbc8ec1dbe5d486e38925c48da96d88d52e0496,8.581541238886537,0.15332586907584067,True
13,1.366610943251033,1.0,32.595041283432664,1.0,1.3598617372441906,d6bc5ce4f0ad1908f7418920a66f10dd57ae8e5b6b6d3ee455a6eb6d46ba5d13,7.831242806492595,0.17450754331330734,True
14,1.8782573145435562,1.0,24.820454284704685,1.0,1.8741387869489115,54f990f25e248eefa847ea1dd1647c2d2bd206f4110c5aeec4e5697a9ca7c3e2,8.023098004651882,0.23410624093766794,True
15,2.5634100266462108,1.0,20.569399814282562,1.0,2.57189592187061,83f94339e484044d6a3cd72e2bd9c66125ecddfe741544975ac7ea92283d9e20,8.268021234537617,0.31003911987286614,True
16,2.750412075769496,1.0,24.981607889118806,1.0,2.756373909663354,7e8eeb2effc29acb3d02fb114724837ae99dbbb105e820c3248e39c6f6cf5de8,8.214848137182678,0.33480985038790545,True
17,3.232025450225118,1.0,24.72678877896629,1.0,3.2347597872182217,f9cdef002e6a5f80ec8444d861fa4cdeb5cc82e0c473f2894a05f26c5c5d9540,9.148686481540032,0.35327753954041485,True
18,4.7509709633648995,1.0,19.184615503203055,1.0,4.729356451359651,19e45a639669987c90b76d70bfbe1d76ea00fbb9a18c6fced9f59630088b17ae,9.616192718237173,0.49405945810077745,True
19,5.495847531605746,1.0,16.6883531798293,1.0,5.435092006894758,8a018e9f6ce6847407af8443d6fca4477aae997229e1655db69382e31fe13e83,10.2923335093854,0.5339748781551023,True
20,7.803544220223862,1.0,23.205968684268427,1.0,7.651626549481759,01e438564b9918d61481c94235dcef9f395ed619983aa283fae19e7b6d2c278a,10.967121144223384,0.7115398943444838,True
21,8.60838539919827,1.0,26.50219347789866,1.0,8.49989028468877,b9aa44ea9d0067e744161faf174900b66b98e77cca4ded6bc0b48c302f7afab0,11.334919940338018,0.7594570975806609,True
22,10.203986763392408,1.0,35.9638475270888,1.0,10.126511547048933,b8b013b3936bdcee4c43b737031cc15730ee15412f414d55f84ae7cffa949758,11.973061382483941,0.852245423072865,True
23,11.379105561115018,1.0,34.97558000623892,1.0,11.324284634357745,c4f07f321b682cf98dab1bc31a699521b49d24aabde1ebb25fe60cf02c30c1c4,12.560231687859863,0.905963030292947,True
24,13.00375085413121,1.0,31.989240251049694,1.0,12.958094627207277,2aa69d261582527ba590641e4708985bb3315ec08292eaf6c7a23e04bc2a971d,13.844417577294063,0.9392775666820674,True
25,14.047715355332477,1.0,32.67951203838758,1.0,14.02083495029709,b6fc5e058502694c80391e35df68492d9551a375cb46b0387345efdd0573f09f,15.35574324519169,0.9148183276463161,True
26,15.782969440688596,1.0,29.089063257854686,1.0,15.797261093036363,a69023b2873d5af92937ab4e7a9f841b73e26279c8c28e20d0747293911da01b,17.725885693019965,0.8903910198915227,True
27,17.879630709557446,1.0,21.10735366789534,1.0,17.90140549570597,0c467b7a452619d058afb07c96fd0cd8e20abb19a58d89674ab0a42e00ef2b94,20.010345467491526,0.8935193417127354,True
28,20.49746054145932,1.0,24.15953765830718,1.0,20.544438238103403,d2472aefdd3c9a67d6b54e931ce13db995dea4531d969f81dcf64ab2500e035f,22.804876445548388,0.898819188536341,True
29,24.358501249817017,1.0,25.901823908035567,1.0,24.42255289663209,6fcaeb73515185a8012db81f0993b58a559e2467d9ac108e80785e0f04ddde0d,26.01167737422638,0.9364448474188978,True
30,28.181660165734144,1.0,27.161012070025638,1.0,28.23044261131378,9d577cd4c2b390219fa8572885cf9f28b36fa2ab30e1541c9e19fdc57d77fd54,30.197229548931112,0.9332531688070599,True
31,36.27162804004544,1.0,24.890714192363333,1.0,36.188727929487456,142d1343b7c8dfbd045036ee20785aef97476cee231a1609f5a9ff6e723b8e38,37.562432631029225,0.9656357562444589,True
32,44.243068673610104,1.0,25.729696083351165,1.0,44.06920610140167,deea37b386eb2776cb8cb445ea38b051a908009b1a77b29443d69b9109e4794a,47.01001918231076,0.9411412597393319,True
33,57.920022376256355,1.0,24.815653929360206,1.0,57.74788462644483,91b04128aee87bcdf4a9943760711efaaa2af84c86c6faa0dd4eb14219f76892,63.24721805903254,0.9157718576996702,True
