metric,dropped_index,dropped_controller,medium_rho,strong_rho,aggregate_rho
A1,13,V4_DIRECTION_17,0.545628582740596,0.570045174423122,0.557836878581859
A1,14,V4_DIRECTION_18,0.575056759765679,0.560931014278434,0.567993887022057
A1,15,V4_DIRECTION_19,0.561647044477627,0.57513290507972,0.568389974778674
A1,16,V4_DIRECTION_20,0.547031200221641,0.554221639774666,0.550626419998153
A1,17,V4_DIRECTION_22,0.558437609907133,0.564566706265292,0.561502158086213
A1,18,V4_DIRECTION_23,0.542550138125814,0.540089294784283,0.541319716455049
A1,19,V4_DIRECTION_24,0.556095451354662,0.566280245720481,0.561187848537571
A1,20,V4_DIRECTION_26,0.537471675749271,0.53902397910991,0.53824782742959
A1,21,V4_DIRECTION_28,0.549702161341271,0.545579431253016,0.547640796297144
A1,22,V4_DIRECTION_29,0.557631227607091,0.553346027427903,0.555488627517498
A1,23,V4_DIRECTION_30,0.554912676710203,0.571589019586235,0.563250848148219
A1,24,V4_DIRECTION_31,0.552044318063304,0.55008404759885,0.551064182831077
A1,25,V4_DIRECTION_32,0.538587499105003,0.547965886160829,0.543276692632916
A1,26,V4_DIRECTION_33,0.561367590060604,0.563842354320813,0.562604972190708
A1,27,V4_DIRECTION_34,0.559297797383541,0.55215106548367,0.555724431433605
A1,28,V4_DIRECTION_35,0.546861629706627,0.561845312705281,0.554353471205954
A1,29,V4_DIRECTION_37,0.556095674663038,0.547816256525999,0.551955965594519
A1,30,V4_DIRECTION_39,0.568417687281578,0.565115610318669,0.566766648800123
A2,0,V4_DIRECTION_00,0.440348614634943,0.438092764589337,0.43922068961214
A2,1,V4_DIRECTION_01,0.431869769121883,0.436019075841274,0.433944422481578
A2,2,V4_DIRECTION_02,0.463633136462391,0.450763435094455,0.457198285778423
A2,3,V4_DIRECTION_03,0.443195432793592,0.422517284692382,0.432856358742987
A2,4,V4_DIRECTION_04,0.442420296467362,0.430508329408599,0.436464312937981
A2,5,V4_DIRECTION_06,0.460143796783308,0.467627891256308,0.463885844019808
A2,6,V4_DIRECTION_07,0.463784429424062,0.439385920598494,0.451585175011278
A2,7,V4_DIRECTION_08,0.451927169515126,0.477610659773847,0.464768914644486
A2,8,V4_DIRECTION_09,0.434190210559095,0.436438794482541,0.435314502520818
A2,9,V4_DIRECTION_10,0.447620796065819,0.436391065387521,0.44200593072667
A2,10,V4_DIRECTION_11,0.435423741803824,0.433757217833225,0.434590479818524
A2,11,V4_DIRECTION_13,0.427886491212132,0.428132622344233,0.428009556778183
A2,12,V4_DIRECTION_15,0.425943733624193,0.42079114476929,0.423367439196741
A2,13,V4_DIRECTION_17,0.430489040498599,0.441067710827458,0.435778375663029
A2,14,V4_DIRECTION_18,0.452202960333191,0.444230729911246,0.448216845122218
A2,15,V4_DIRECTION_19,0.450017022556117,0.458889475800349,0.454453249178233
A2,16,V4_DIRECTION_20,0.42532569350336,0.425756551333783,0.425541122418572
A2,17,V4_DIRECTION_22,0.443944926950637,0.453722975155865,0.448833951053251
A2,18,V4_DIRECTION_23,0.436038217229921,0.440381512311621,0.438209864770771
A2,19,V4_DIRECTION_24,0.453648440468886,0.457428019149316,0.455538229809101
A2,20,V4_DIRECTION_26,0.426946076805148,0.419651625472257,0.423298851138702
A2,21,V4_DIRECTION_28,0.437817359233249,0.427774597411059,0.432795978322154
A2,22,V4_DIRECTION_29,0.440807641780668,0.42755787057688,0.434182756178774
A2,23,V4_DIRECTION_30,0.445600386452938,0.454789613344219,0.450194999898579
A2,24,V4_DIRECTION_31,0.432837162936785,0.418052945121783,0.425445054029284
A2,25,V4_DIRECTION_32,0.441002946766526,0.442034743273217,0.441518845019871
A2,26,V4_DIRECTION_33,0.456609920075564,0.442797553765674,0.449703736920619
A2,27,V4_DIRECTION_34,0.442906945947166,0.433961917565557,0.438434431756361
A2,28,V4_DIRECTION_35,0.435662859622188,0.443990401288642,0.439826630455415
A2,29,V4_DIRECTION_37,0.441398308018165,0.439405431107982,0.440401869563074
A2,30,V4_DIRECTION_39,0.465698462666134,0.446928010386554,0.456313236526344
