design,independent_units,raw_rows,rollouts,random_controls,transfer_fraction,within_family_rho,se_multiplier,effective_units,replicates,true_c,true_delta_c,expected_c_ci_width,expected_delta_c_ci_width,power_c_lower_gt_zero,power_delta_c_lower_gt_zero,probability_c_above_every_random,split_half_sign_consistency,joint_frozen_rule_probability,joint_probability_monte_carlo_se
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.5,0.0,0.660387091871965,275.1592356687898,100000,0.03499960839599004,0.019355028195488726,0.03687926797268361,0.030683060164535484,0.96042,0.69839,0.62544,0.98423,0.50429,0.0015810806301387668
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.75,0.0,0.660387091871965,275.1592356687898,100000,0.0446771224937344,0.02903254229323309,0.03687926797268361,0.030683060164535484,0.99749,0.96033,0.8733,0.99975,0.85295,0.001119938826454374
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,1.0,0.0,0.660387091871965,275.1592356687898,100000,0.05435463659147877,0.03871005639097745,0.03687926797268361,0.030683060164535484,0.99992,0.99851,0.97406,1.0,0.97311,0.0005115361952003003
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.0,0.25,0.7596600116718881,207.94223826714807,100000,0.015644580200501315,0.0,0.042423156786976036,0.035295501880038764,0.29895,0.02539,0.08776,0.21231,0.00229,0.0001511540902522985
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.5,0.25,0.7596600116718881,207.94223826714807,100000,0.03499960839599004,0.019355028195488726,0.042423156786976036,0.035295501880038764,0.9007,0.57559,0.56458,0.96358,0.39855,0.0015482502946875224
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.75,0.25,0.7596600116718881,207.94223826714807,100000,0.0446771224937344,0.02903254229323309,0.042423156786976036,0.035295501880038764,0.98541,0.8974,0.8085,0.99856,0.7583,0.001353813539598419
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,1.0,0.25,0.7596600116718881,207.94223826714807,100000,0.05435463659147877,0.03871005639097745,0.042423156786976036,0.035295501880038764,0.99889,0.99048,0.94567,0.99998,0.93993,0.0007514093098970757
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.0,0.5,0.847381587925744,167.11798839458416,100000,0.015644580200501315,0.0,0.047321961681059836,0.03937124235869546,0.25379,0.02531,0.09364,0.20052,0.00258,0.00016041644554097312
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.5,0.5,0.847381587925744,167.11798839458416,100000,0.03499960839599004,0.019355028195488726,0.047321961681059836,0.03937124235869546,0.82504,0.48882,0.51239,0.939,0.31992,0.0014750294695361173
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.75,0.5,0.847381587925744,167.11798839458416,100000,0.0446771224937344,0.02903254229323309,0.047321961681059836,0.03937124235869546,0.95896,0.82586,0.75521,0.99525,0.67163,0.0014850695037606826
