scenario,seed_regime,discordance,gain,N,R,t_power,signflip_power,t_ci_coverage,mean_half_width,mean_estimate,degenerate_fraction,utility_trajectories_max,full_bank_trajectories,expected_generated_tokens_utility,expected_storage_bytes_utility,observed_rate_hours_utility,frozen_p50_hours_utility,frozen_p80_hours_utility,frozen_p95_hours_utility,realized_mean,realized_sd,nonzero_fraction
REGULAR,INDEPENDENT,0.2,0.01,250,4,0.1762,0.1763,0.9525,0.027838030898533907,0.0102266,0.0,2000,8000,39753.125,13330001.041666666,0.9816057260590565,1.0166666666666666,1.1510416666666667,1.296875,0.009999999999999998,0.2237213668830047,0.51319
REGULAR,INDEPENDENT,0.2,0.01,400,4,0.2317,0.2317,0.954,0.021967104370055637,0.0101083125,0.0,3200,12800,63604.99999999999,21328001.666666668,1.5705691616944903,1.6266666666666667,1.8416666666666666,2.075,0.009999999999999998,0.2237213668830047,0.51319
REGULAR,INDEPENDENT,0.2,0.01,500,4,0.2623,0.2623,0.9534,0.019634908359465627,0.0100169,0.0,4000,16000,79506.25,26660002.083333332,1.963211452118113,2.033333333333333,2.3020833333333335,2.59375,0.009999999999999998,0.2237213668830047,0.51319
REGULAR,INDEPENDENT,0.2,0.01,800,4,0.3498,0.3498,0.9487,0.01552110597870368,0.009947875,0.0,6400,25600,127209.99999999999,42656003.333333336,3.1411383233889807,3.2533333333333334,3.683333333333333,4.15,0.009999999999999998,0.2237213668830047,0.51319
REGULAR,INDEPENDENT,0.2,0.01,1000,4,0.4096,0.4096,0.9498,0.013876087136105338,0.010083175,0.0,8000,32000,159012.5,53320004.166666664,3.926422904236226,4.066666666666666,4.604166666666667,5.1875,0.009999999999999998,0.2237213668830047,0.51319
REGULAR,INDEPENDENT,0.2,0.01,1200,4,0.4616,0.462,0.953,0.012668170758106988,0.010040583333333334,0.0,9600,38400,190815.0,63984005.0,4.711707485083472,4.88,5.525,6.225,0.009999999999999998,0.2237213668830047,0.51319
REGULAR,INDEPENDENT,0.2,0.01,23,6,0.0839,0.0839,0.9496,0.07806248463478084,0.01021231884057971,0.0,276,1104,5485.93125,1839540.14375,0.1354615901961498,0.14029999999999998,0.15884375,0.17896874999999998,0.010000000000000005,0.182409033645693,0.608885
REGULAR,INDEPENDENT,0.2,0.01,100,6,0.1369,0.1369,0.9475,0.03606956103477651,0.009760666666666666,0.0,1200,4800,23851.875,7998000.625,0.588963435635434,0.61,0.690625,0.778125,0.010000000000000005,0.182409033645693,0.608885
REGULAR,INDEPENDENT,0.2,0.01,250,6,0.2208,0.2209,0.9508,0.022689999061968728,0.0100378,0.0,3000,12000,59629.68749999999,19995001.5625,1.4724085890885847,1.525,1.7265625,1.9453125,0.010000000000000005,0.182409033645693,0.608885
REGULAR,INDEPENDENT,0.2,0.01,400,6,0.2897,0.2897,0.9509,0.017927735322383544,0.010003166666666667,0.0,4800,19200,95407.5,31992002.5,2.355853742541736,2.44,2.7625,3.1125,0.010000000000000005,0.182409033645693,0.608885
REGULAR,INDEPENDENT,0.2,0.01,500,6,0.339,0.339,0.9476,0.016020056275604835,0.009982566666666668,0.0,6000,24000,119259.37499999999,39990003.125,2.9448171781771695,3.05,3.453125,3.890625,0.010000000000000005,0.182409033645693,0.608885
REGULAR,INDEPENDENT,0.2,0.01,800,6,0.4633,0.4633,0.9513,0.012655426515620023,0.010025854166666667,0.0,9600,38400,190815.0,63984005.0,4.711707485083472,4.88,5.525,6.225,0.010000000000000005,0.182409033645693,0.608885
REGULAR,INDEPENDENT,0.2,0.01,1000,6,0.5328,0.5328,0.9532,0.011315406475695863,0.00993635,0.0,12000,48000,238518.74999999997,79980006.25,5.889634356354339,6.1,6.90625,7.78125,0.010000000000000005,0.182409033645693,0.608885
REGULAR,INDEPENDENT,0.2,0.01,1200,6,0.5928,0.5928,0.9494,0.010327072041073936,0.009922138888888887,0.0,14400,57600,286222.5,95976007.5,7.067561227625207,7.32,8.2875,9.3375,0.010000000000000005,0.182409033645693,0.608885
REGULAR,INDEPENDENT,0.2,0.01,23,8,0.0817,0.0817,0.9524,0.06731366307576336,0.009817391304347826,0.0,368,1472,7314.575,2452720.1916666664,0.18061545359486642,0.18706666666666666,0.21179166666666668,0.23862499999999998,0.010000000000000005,0.15792601115712382,0.6688500000000001
REGULAR,INDEPENDENT,0.2,0.01,100,8,0.1497,0.1497,0.9523,0.03128428143098349,0.009803875,0.0,1600,6400,31802.499999999996,10664000.833333334,0.7852845808472452,0.8133333333333334,0.9208333333333333,1.0375,0.010000000000000005,0.15792601115712382,0.6688500000000001
REGULAR,INDEPENDENT,0.2,0.01,250,8,0.2545,0.2548,0.9498,0.01965551796882619,0.00990795,0.0,4000,16000,79506.25,26660002.083333332,1.963211452118113,2.033333333333333,2.3020833333333335,2.59375,0.010000000000000005,0.15792601115712382,0.6688500000000001
REGULAR,INDEPENDENT,0.2,0.01,400,8,0.3492,0.3492,0.9524,0.015523044225328686,0.009967656249999998,0.0,6400,25600,127209.99999999999,42656003.333333336,3.1411383233889807,3.2533333333333334,3.683333333333333,4.15,0.010000000000000005,0.15792601115712382,0.6688500000000001
REGULAR,INDEPENDENT,0.2,0.01,500,8,0.3991,0.3993,0.9506,0.013866191624935317,0.009949125000000001,0.0,8000,32000,159012.5,53320004.166666664,3.926422904236226,4.066666666666666,4.604166666666667,5.1875,0.010000000000000005,0.15792601115712382,0.6688500000000001
REGULAR,INDEPENDENT,0.2,0.01,800,8,0.5533,0.5533,0.9464,0.010956317765528897,0.009959000000000003,0.0,12800,51200,254419.99999999997,85312006.66666667,6.282276646777961,6.506666666666667,7.366666666666666,8.3,0.010000000000000005,0.15792601115712382,0.6688500000000001
REGULAR,INDEPENDENT,0.2,0.01,1000,8,0.6363,0.6365,0.9488,0.009792692602254521,0.0099571625,0.0,16000,64000,318025.0,106640008.33333333,7.852845808472452,8.133333333333333,9.208333333333334,10.375,0.010000000000000005,0.15792601115712382,0.6688500000000001
REGULAR,INDEPENDENT,0.2,0.01,1200,8,0.7156,0.7158,0.9514,0.008940977271618678,0.010015416666666667,0.0,19200,76800,381630.0,127968010.0,9.423414970166943,9.76,11.05,12.45,0.010000000000000005,0.15792601115712382,0.6688500000000001
REGULAR,INDEPENDENT,0.2,0.02,23,1,0.0766,0.0766,0.9436,0.188521968883607,0.020873913043478264,0.0047,46,184,914.321875,306590.0239583333,0.022576931699358302,0.023383333333333332,0.026473958333333335,0.029828124999999997,0.020000000000000004,0.447532121752171,0.200685
REGULAR,INDEPENDENT,0.2,0.02,100,1,0.1163,0.1163,0.95,0.08834050179195096,0.019199,0.0,200,800,3975.3124999999995,1333000.1041666667,0.09816057260590565,0.10166666666666667,0.11510416666666666,0.1296875,0.020000000000000004,0.447532121752171,0.200685
REGULAR,INDEPENDENT,0.2,0.02,250,1,0.1713,0.1713,0.9498,0.05564338321465341,0.0201996,0.0,500,2000,9938.28125,3332500.2604166665,0.24540143151476412,0.25416666666666665,0.2877604166666667,0.32421875,0.020000000000000004,0.447532121752171,0.200685
REGULAR,INDEPENDENT,0.2,0.02,400,1,0.2297,0.2297,0.9464,0.043933858966013165,0.01990675,0.0,800,3200,15901.249999999998,5332000.416666667,0.3926422904236226,0.4066666666666667,0.46041666666666664,0.51875,0.020000000000000004,0.447532121752171,0.200685
REGULAR,INDEPENDENT,0.2,0.02,500,1,0.2553,0.2553,0.9486,0.039283884481286474,0.019962800000000003,0.0,1000,4000,19876.5625,6665000.520833333,0.49080286302952825,0.5083333333333333,0.5755208333333334,0.6484375,0.020000000000000004,0.447532121752171,0.200685
