scenario,seed_regime,discordance,N,R,t_fpr,t_fpr_wilson_low,t_fpr_wilson_high,signflip_fpr,signflip_fpr_wilson_low,signflip_fpr_wilson_high,t_ci_coverage,half_width,degenerate_fraction,realized_mean,realized_sd,nonzero_fraction
HETEROGENEOUS_EFFECT,PAIRED_COMMON_UNIFORM,0.5,800,6,0.0471,0.04424989160887549,0.050124054650744085,0.0473,0.044443939182034535,0.05032993026316259,0.952,0.006469850349950283,0.0,-6.2341624917916505e-19,0.0933958124209955,0.20556
HETEROGENEOUS_EFFECT,PAIRED_COMMON_UNIFORM,0.5,1000,6,0.04965,0.04672505899619379,0.05274790787953965,0.04965,0.04672505899619379,0.05274790787953965,0.9484,0.005790254061876368,0.0,-6.2341624917916505e-19,0.0933958124209955,0.20556
HETEROGENEOUS_EFFECT,PAIRED_COMMON_UNIFORM,0.5,1200,6,0.05125,0.04827923661489607,0.054393115745457826,0.05125,0.04827923661489607,0.054393115745457826,0.94875,0.005283610921332017,0.0,-6.2341624917916505e-19,0.0933958124209955,0.20556
HETEROGENEOUS_EFFECT,PAIRED_COMMON_UNIFORM,0.5,23,8,0.04945,0.04653084675352752,0.05254219693662836,0.04945,0.04653084675352752,0.05254219693662836,0.9579,0.03531883771667625,0.0012,7.589415207398531e-19,0.08495219243786471,0.260575
HETEROGENEOUS_EFFECT,PAIRED_COMMON_UNIFORM,0.5,100,8,0.0499,0.04696784327638812,0.05300502758131726,0.0499,0.04696784327638812,0.05300502758131726,0.95145,0.01670315263857278,0.0,7.589415207398531e-19,0.08495219243786471,0.260575
HETEROGENEOUS_EFFECT,PAIRED_COMMON_UNIFORM,0.5,250,8,0.0512,0.04823065586678381,0.054341715697175705,0.0512,0.04823065586678381,0.054341715697175705,0.94855,0.010538683863465495,0.0,7.589415207398531e-19,0.08495219243786471,0.260575
HETEROGENEOUS_EFFECT,PAIRED_COMMON_UNIFORM,0.5,400,8,0.04765,0.04478355718908839,0.05069017783086945,0.04765,0.04478355718908839,0.05069017783086945,0.9515,0.008335882476270567,0.0,7.589415207398531e-19,0.08495219243786471,0.260575
HETEROGENEOUS_EFFECT,PAIRED_COMMON_UNIFORM,0.5,500,8,0.04865,0.04575413435788266,0.05171921658996299,0.04875,0.04585121135293896,0.051822101187695466,0.94935,0.007452287507810521,0.0,7.589415207398531e-19,0.08495219243786471,0.260575
HETEROGENEOUS_EFFECT,PAIRED_COMMON_UNIFORM,0.5,800,8,0.049,0.04609391897416605,0.05207929754844033,0.049,0.04609391897416605,0.05207929754844033,0.9498,0.00589078423668671,0.0,7.589415207398531e-19,0.08495219243786471,0.260575
HETEROGENEOUS_EFFECT,PAIRED_COMMON_UNIFORM,0.5,1000,8,0.0502,0.047259212047703,0.05331354358836872,0.0502,0.047259212047703,0.05331354358836872,0.95155,0.005266198510037812,0.0,7.589415207398531e-19,0.08495219243786471,0.260575
HETEROGENEOUS_EFFECT,PAIRED_COMMON_UNIFORM,0.5,1200,8,0.0504,0.04745347452539701,0.053519204296252273,0.0504,0.04745347452539701,0.053519204296252273,0.9506,0.004806583235337561,0.0,7.589415207398531e-19,0.08495219243786471,0.260575
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,23,1,0.03625,0.033747360220002964,0.03893075322203407,0.03625,0.033747360220002964,0.03893075322203407,0.98125,0.12684978951976256,0.08625,0.0,0.3169227035098622,0.10044
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,100,1,0.05025,0.047307776423977946,0.05336496000848817,0.05025,0.047307776423977946,0.05336496000848817,0.9572,0.06228572347329511,0.0001,0.0,0.3169227035098622,0.10044
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,250,1,0.0492,0.04628810055440988,0.052285039153774054,0.0492,0.04628810055440988,0.052285039153774054,0.94535,0.03928422131839083,0.0,0.0,0.3169227035098622,0.10044
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,400,1,0.05005,0.04711352390789289,0.05315928933899566,0.05005,0.04711352390789289,0.05315928933899566,0.9498,0.031072355917871147,0.0,0.0,0.3169227035098622,0.10044
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,500,1,0.04955,0.046627951182393115,0.052645054100551536,0.04955,0.046627951182393115,0.052645054100551536,0.9509,0.027797532605127778,0.0,0.0,0.3169227035098622,0.10044
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,800,1,0.0491,0.046191008049740606,0.05218217006565454,0.0491,0.046191008049740606,0.05218217006565454,0.9491,0.02195073356506322,0.0,0.0,0.3169227035098622,0.10044
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,1000,1,0.04965,0.04672505899619379,0.05274790787953965,0.04965,0.04672505899619379,0.05274790787953965,0.95405,0.019648214743466313,0.0,0.0,0.3169227035098622,0.10044
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,1200,1,0.048,0.04512321903284525,0.051050381561873324,0.048,0.04512321903284525,0.051050381561873324,0.95335,0.017934610967722954,0.0,0.0,0.3169227035098622,0.10044
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,23,2,0.05215,0.04915382695389645,0.05531817974155647,0.05215,0.04915382695389645,0.05531817974155647,0.9564,0.09384918555116689,0.0085,0.0,0.22432677058255887,0.184955
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,100,2,0.048,0.04512321903284525,0.051050381561873324,0.048,0.04512321903284525,0.051050381561873324,0.947,0.04416749903130514,0.0,0.0,0.22432677058255887,0.184955
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,250,2,0.0475,0.0446380012200997,0.05053579141067499,0.0475,0.0446380012200997,0.05053579141067499,0.95105,0.02788499994058925,0.0,0.0,0.22432677058255887,0.184955
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,400,2,0.05045,0.04750204221284436,0.053570617405199306,0.05045,0.04750204221284436,0.053570617405199306,0.94955,0.022011822603062052,0.0,0.0,0.22432677058255887,0.184955
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,500,2,0.05015,0.047210648502146166,0.05326212633753116,0.05015,0.047210648502146166,0.05326212633753116,0.94805,0.01967597151486683,0.0,0.0,0.22432677058255887,0.184955
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,800,2,0.0492,0.04628810055440988,0.052285039153774054,0.0492,0.04628810055440988,0.052285039153774054,0.94995,0.015557916623091453,0.0,0.0,0.22432677058255887,0.184955
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,1000,2,0.05245,0.04944541404447439,0.05562647742934486,0.0525,0.049494014631385946,0.055677857638827696,0.9483,0.013910716493499746,0.0,0.0,0.22432677058255887,0.184955
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,1200,2,0.0495,0.04657939854423662,0.05259362594231365,0.0497,0.04677361416941829,0.052799333502709545,0.95005,0.012700350118514087,0.0,0.0,0.22432677058255887,0.184955
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,23,4,0.04835,0.04546292425909533,0.05141054191038397,0.04835,0.04546292425909533,0.05141054191038397,0.955,0.06781599688777258,0.00015,-7.806255641895632e-18,0.1603258400882403,0.32108499999999995
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,100,4,0.0498,0.046870727042488985,0.05290218222242761,0.0498,0.046870727042488985,0.05290218222242761,0.9512,0.031689265022171606,0.0,-7.806255641895632e-18,0.1603258400882403,0.32108499999999995
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,250,4,0.0477,0.04483207763642848,0.05074163817992376,0.0477,0.04483207763642848,0.05074163817992376,0.9497,0.019922478200535887,0.0,-7.806255641895632e-18,0.1603258400882403,0.32108499999999995
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,400,4,0.04925,0.04633664808955941,0.05233647241501892,0.04925,0.04633664808955941,0.05233647241501892,0.94885,0.01572984572353785,0.0,-7.806255641895632e-18,0.1603258400882403,0.32108499999999995
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,500,4,0.05075,0.047793465619609864,0.053879078776800156,0.05075,0.047793465619609864,0.053879078776800156,0.9497,0.014077752218341249,0.0,-7.806255641895632e-18,0.1603258400882403,0.32108499999999995
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,800,4,0.04905,0.0461424630826958,0.05213073423630496,0.04905,0.0461424630826958,0.05213073423630496,0.9486,0.011116059662639696,0.0,-7.806255641895632e-18,0.1603258400882403,0.32108499999999995
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,1000,4,0.05275,0.04973702923912196,0.055934747013063627,0.05275,0.04973702923912196,0.055934747013063627,0.9504,0.00994304341855274,0.0,-7.806255641895632e-18,0.1603258400882403,0.32108499999999995
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,1200,4,0.05005,0.04711352390789289,0.05315928933899566,0.05005,0.04711352390789289,0.05315928933899566,0.9506,0.00907493168278567,0.0,-7.806255641895632e-18,0.1603258400882403,0.32108499999999995
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,23,6,0.0494,0.04648229581148323,0.052490767082278254,0.0494,0.04648229581148323,0.052490767082278254,0.95335,0.05638749359666745,0.0,-4.662069341687669e-18,0.1329933164569642,0.423615
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,100,6,0.0495,0.04657939854423662,0.05259362594231365,0.0495,0.04657939854423662,0.05259362594231365,0.9502,0.026305225849595496,0.0,-4.662069341687669e-18,0.1329933164569642,0.423615
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,250,6,0.04725,0.04439542592925541,0.050278462719547334,0.04725,0.04439542592925541,0.050278462719547334,0.9502,0.016538434848182567,0.0,-4.662069341687669e-18,0.1329933164569642,0.423615
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,400,6,0.0517,0.04871649951539004,0.054855680012513376,0.0518,0.048813677841243325,0.054958463279448866,0.9491,0.01306085782140536,0.0,-4.662069341687669e-18,0.1329933164569642,0.423615
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,500,6,0.0514,0.04842498369486328,0.054547311054673794,0.0514,0.04842498369486328,0.054547311054673794,0.9501,0.011666140657560576,0.0,-4.662069341687669e-18,0.1329933164569642,0.423615
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,800,6,0.04575,0.04294045562026574,0.048734009136705315,0.04575,0.04294045562026574,0.048734009136705315,0.9516,0.009218711721715773,0.0,-4.662069341687669e-18,0.1329933164569642,0.423615
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,1000,6,0.0498,0.046870727042488985,0.05290218222242761,0.0498,0.046870727042488985,0.05290218222242761,0.94965,0.008249793960840416,0.0,-4.662069341687669e-18,0.1329933164569642,0.423615
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,1200,6,0.0482,0.045317331021641365,0.05125619275865478,0.0482,0.045317331021641365,0.05125619275865478,0.94895,0.007531312211542573,0.0,-4.662069341687669e-18,0.1329933164569642,0.423615
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,23,8,0.04795,0.04507469324573276,0.05099892655259144,0.04795,0.04507469324573276,0.05099892655259144,0.9509,0.0494320866120786,0.0,5.421010862427522e-19,0.11628393321951232,0.50343
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,100,8,0.05185,0.04886226819656871,0.05500985372051786,0.05185,0.04886226819656871,0.05500985372051786,0.9501,0.02301944232978147,0.0,5.421010862427522e-19,0.11628393321951232,0.50343
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,250,8,0.05015,0.047210648502146166,0.05326212633753116,0.0503,0.04735634162979811,0.053416375599062385,0.95015,0.014456119950850376,0.0,5.421010862427522e-19,0.11628393321951232,0.50343
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,400,8,0.04965,0.04672505899619379,0.05274790787953965,0.04965,0.04672505899619379,0.05274790787953965,0.95125,0.011420642559992528,0.0,5.421010862427522e-19,0.11628393321951232,0.50343
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,500,8,0.0479,0.04502616834527764,0.050947470656652165,0.0479,0.04502616834527764,0.050947470656652165,0.95375,0.010214401545618389,0.0,5.421010862427522e-19,0.11628393321951232,0.50343
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,800,8,0.0537,0.05066066021636178,0.056910751167317204,0.0537,0.05066066021636178,0.056910751167317204,0.94845,0.008069108463564352,0.0,5.421010862427522e-19,0.11628393321951232,0.50343
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,1000,8,0.04815,0.04526880170100474,0.05120474128289701,0.04815,0.04526880170100474,0.05120474128289701,0.95215,0.007215400952823276,0.0,5.421010862427522e-19,0.11628393321951232,0.50343
RARE_SYSTEMATIC_HARM,INDEPENDENT,0.1,1200,8,0.04955,0.046627951182393115,0.052645054100551536,0.04955,0.046627951182393115,0.052645054100551536,0.95025,0.00658445350371379,0.0,5.421010862427522e-19,0.11628393321951232,0.50343
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,23,1,0.00105,0.0006868970946874328,0.0016047356856993726,0.00105,0.0006868970946874328,0.0016047356856993726,0.99995,0.03580326857606712,0.6356,0.0,0.1404101135958518,0.019715
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,100,1,0.0293,0.02705159552542573,0.03172918721779116,0.0293,0.02705159552542573,0.03172918721779116,0.9866,0.025071533123351815,0.1363,0.0,0.1404101135958518,0.019715
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,250,1,0.0496,0.04667650466678262,0.05269648141255642,0.0496,0.04667650466678262,0.05269648141255642,0.95565,0.01699514725295487,0.00625,0.0,0.1404101135958518,0.019715
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,400,1,0.05215,0.04915382695389645,0.05531817974155647,0.05215,0.04915382695389645,0.05531817974155647,0.9547,0.01360174652955381,0.00035,0.0,0.1404101135958518,0.019715
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,500,1,0.05245,0.04944541404447439,0.05562647742934486,0.05245,0.04944541404447439,0.05562647742934486,0.9568,0.012174716058459703,0.0001,0.0,0.1404101135958518,0.019715
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,800,1,0.04755,0.0446865189795843,0.05058725444758479,0.04755,0.0446865189795843,0.05058725444758479,0.954,0.009671982688099379,0.0,0.0,0.1404101135958518,0.019715
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,1000,1,0.0486,0.04570559716257019,0.05166777298888107,0.0486,0.04570559716257019,0.05166777298888107,0.9486,0.008657980737784397,0.0,0.0,0.1404101135958518,0.019715
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,1200,1,0.05065,0.047696321199886975,0.053776261603734256,0.05065,0.047696321199886975,0.053776261603734256,0.9445,0.007914536569526792,0.0,0.0,0.1404101135958518,0.019715
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,23,2,0.00595,0.004974914049058735,0.0071148367779782454,0.00595,0.004974914049058735,0.0071148367779782454,0.99895,0.032916728856979695,0.405,0.0,0.10248170568447815,0.038635
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,100,2,0.05385,0.05080652178100739,0.057064831991854775,0.05385,0.05080652178100739,0.057064831991854775,0.9607,0.019319262939813914,0.02065,0.0,0.10248170568447815,0.038635
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,250,2,0.05535,0.052265505399823387,0.05860527226487046,0.05535,0.052265505399823387,0.05860527226487046,0.9558,0.012567270762829036,5e-05,0.0,0.10248170568447815,0.038635
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,400,2,0.052,0.04900804401912483,0.05516402028714491,0.052,0.04900804401912483,0.05516402028714491,0.94905,0.009975692446833424,0.0,0.0,0.10248170568447815,0.038635
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,500,2,0.05315,0.050125892826007074,0.05634572979733364,0.05315,0.050125892826007074,0.05634572979733364,0.94515,0.008912217064645978,0.0,0.0,0.10248170568447815,0.038635
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,800,2,0.05395,0.05090376658630194,0.05716754877934899,0.05395,0.05090376658630194,0.05716754877934899,0.9478,0.00707122994889277,0.0,0.0,0.10248170568447815,0.038635
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,1000,2,0.0502,0.047259212047703,0.05331354358836872,0.0502,0.047259212047703,0.05331354358836872,0.9514,0.006335974293118146,0.0,0.0,0.10248170568447815,0.038635
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,1200,2,0.05445,0.05139003546491438,0.05768108786468045,0.05445,0.05139003546491438,0.05768108786468045,0.94535,0.0057833455916604356,0.0,0.0,0.10248170568447815,0.038635
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,23,4,0.0265,0.024363292149139563,0.02881856599599151,0.0265,0.024363292149139563,0.02881856599599151,0.99245,0.02831875007909522,0.17135,-4.336808689942018e-19,0.07621515597307402,0.073745
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,100,4,0.0606,0.05737692247069919,0.06399183881540556,0.0606,0.05737692247069919,0.06399183881540556,0.95485,0.014727554913460625,0.00055,-4.336808689942018e-19,0.07621515597307402,0.073745
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,250,4,0.0545,0.051438666441059815,0.05773243768492941,0.0545,0.051438666441059815,0.05773243768492941,0.9498,0.009404058812567406,0.0,-4.336808689942018e-19,0.07621515597307402,0.073745
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,400,4,0.0577,0.05455254662091652,0.06101732847431364,0.0577,0.05455254662091652,0.06101732847431364,0.94815,0.007442201408061327,0.0,-4.336808689942018e-19,0.07621515597307402,0.073745
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,500,4,0.0535,0.050466188705964386,0.05670529949213705,0.0535,0.050466188705964386,0.05670529949213705,0.95395,0.006664168324972104,0.0,-4.336808689942018e-19,0.07621515597307402,0.073745
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,800,4,0.0546,0.051535930610797774,0.05783513510798024,0.0546,0.051535930610797774,0.05783513510798024,0.95185,0.00527006745759683,0.0,-4.336808689942018e-19,0.07621515597307402,0.073745
RARE_SYSTEMATIC_HARM,PAIRED_COMMON_UNIFORM,0.1,1000,4,0.05515,0.05207093607635747,0.058399918402758814,0.05515,0.05207093607635747,0.058399918402758814,0.94945,0.004713473344134772,0.0,-4.336808689942018e-19,0.07621515597307402,0.073745
