K,candidate_count,bank_index,effect,target_rho,achieved_latent_rho,replicates,mean_true_rho,mean_observed_rho,sampling_q025,sampling_q975,sampling_95_width,permutation_power_or_fpr,permutation_mc_se,all_lofo_positive_rate,mean_lofo_min
10,24,5,RHO_0_15,0.15,0.1508220856918722,75,0.14892137912884865,0.08882640316921686,0.027133668055079593,0.14365991585611282,0.11652624780103323,0.76,0.04931531202375181,0.96,0.060621035524114554
10,24,5,HALF_PRIOR_A0,0.2819091742016503,0.28065714489996707,75,0.27262777465040255,0.1574442505239337,0.10873189987619906,0.22873865756857115,0.12000675769237208,1.0,0.0,1.0,0.1343613531537826
10,24,6,NULL,0.0,0.0008243515004184193,75,-0.0028723658297273415,-0.00803731770674841,-0.05980823561674354,0.043133738704759485,0.10294197432150302,0.0,0.0,0.16,-0.03127458627640293
10,24,6,QUARTER_PRIOR_A0,0.14095458710082515,0.14643588315678488,75,0.1448979932992489,0.10366111322670228,0.043174989203741077,0.16155764002217554,0.11838265081843447,0.84,0.04233202097703345,0.9733333333333334,0.07491413554045244
10,24,6,RHO_0_15,0.15,0.14707393484340242,75,0.14520109738982212,0.09315908419642516,0.023682719737563154,0.1570701799219488,0.13338746018438563,0.4,0.0565685424949238,0.9733333333333334,0.07041375909670147
10,24,6,HALF_PRIOR_A0,0.2819091742016503,0.28282507051699707,75,0.2749375727786097,0.16665419947229312,0.08642772047053718,0.22958419577619332,0.14315647530565614,0.9466666666666667,0.025945812478802534,1.0,0.14063687621266038
10,24,7,NULL,0.0,0.002294609490414623,75,0.0008725383668521948,0.01461631519593963,-0.04659090920227035,0.0760747429016402,0.12266565210391055,0.06666666666666667,0.02880329199292382,0.38666666666666666,-0.008127570684792121
10,24,7,QUARTER_PRIOR_A0,0.14095458710082515,0.14145352121753474,75,0.13778345382399668,0.08120574824333855,0.0171415589857044,0.15378587050916304,0.13664431152345863,0.44,0.05731782736054581,0.92,0.056970524597943765
10,24,7,RHO_0_15,0.15,0.15054132683734414,75,0.14908560493227918,0.10002552421043549,0.0193749568633444,0.16042011487960442,0.14104515801626002,0.7066666666666667,0.052572348738208874,0.96,0.07237347083875356
10,24,7,HALF_PRIOR_A0,0.2819091742016503,0.2808557304312186,75,0.2720822377729418,0.16330873536432913,0.09000742400352227,0.22775060392157256,0.1377431799180503,1.0,0.0,1.0,0.14144360491576974
12,27,0,NULL,0.0,0.003121770737735126,75,0.0022113024480367284,-0.0014898982990006662,-0.05504613899442569,0.05150828182956713,0.10655442082399283,0.0,0.0,0.16,-0.02317927073397874
12,27,0,QUARTER_PRIOR_A0,0.14095458710082515,0.1389456051496163,75,0.1341773334548598,0.08001551346938811,0.004422257532472534,0.1636510094298563,0.15922875189738378,0.64,0.055425625842204077,0.9466666666666667,0.05643351378412134
12,27,0,RHO_0_15,0.15,0.15516706438628833,75,0.14953295820179288,0.10218894586629396,0.054763671595944426,0.14721105465669707,0.09244738306075265,0.8133333333333334,0.0449921803905556,1.0,0.08385817693408476
12,27,0,HALF_PRIOR_A0,0.2819091742016503,0.2858977410286971,75,0.27617290768281477,0.16551355617855878,0.11384847698938741,0.23196935962730011,0.1181208826379127,1.0,0.0,1.0,0.14407744727696
12,27,1,NULL,0.0,0.0023014667333974685,75,0.0017273533894049226,-0.001114922826416848,-0.06942979392538523,0.05796924551891623,0.12739903944430148,0.0,0.0,0.18666666666666668,-0.023851882845073353
12,27,1,QUARTER_PRIOR_A0,0.14095458710082515,0.1372147846801059,75,0.1326072667730101,0.08929135596156128,0.0449417147296756,0.13276498707385284,0.08782327234417725,0.56,0.0573178273605458,1.0,0.06444361059508716
12,27,1,RHO_0_15,0.15,0.14622390919264971,75,0.13833512864677652,0.09002675623603369,0.03285370142306405,0.13958943676708854,0.1067357353440245,0.8533333333333334,0.040850223264270416,1.0,0.07019763020018269
12,27,1,HALF_PRIOR_A0,0.2819091742016503,0.2796735474453439,75,0.2653082410598168,0.15289309914491997,0.09476321710166057,0.20732662986503148,0.11256341276337091,1.0,0.0,1.0,0.13151929097173384
12,27,2,NULL,0.0,0.07842539860737134,75,0.0789551423394896,0.048082497934191594,-0.010504792637583818,0.12037066885339408,0.1308754614909779,0.04,0.02262741699796952,0.7466666666666667,0.021213573331060106
12,27,2,QUARTER_PRIOR_A0,0.14095458710082515,0.14365530168375612,75,0.1408414141863873,0.09254649717777036,0.035172036434664385,0.15857790360261836,0.12340586716795399,0.8133333333333334,0.0449921803905556,0.9733333333333334,0.06871752043473026
12,27,2,RHO_0_15,0.15,0.14927994371861356,75,0.14429197321226056,0.09528299570070665,0.03446403759136642,0.16156780171512997,0.12710376412376356,0.8,0.04618802153517006,0.9866666666666667,0.0735751421712121
12,27,2,HALF_PRIOR_A0,0.2819091742016503,0.27972762830041814,75,0.27139206995949144,0.16914896096690135,0.11234500947936353,0.2566456724195567,0.14430066294019317,1.0,0.0,1.0,0.15209651590592224
12,27,3,NULL,0.0,-0.0014580851227996724,75,-0.0013671344893737723,-0.0061354213943537765,-0.06918487541679837,0.03906602835431621,0.10825090377111457,0.0,0.0,0.21333333333333335,-0.027501619405929868
12,27,3,QUARTER_PRIOR_A0,0.14095458710082515,0.13947219416518855,75,0.13571337892753466,0.08691432783891509,0.03650310176666366,0.14185619679564782,0.10535309502898416,0.48,0.057688820407423826,0.9866666666666667,0.06445031850941085
12,27,3,RHO_0_15,0.15,0.15246395406111088,75,0.14613422821608005,0.092122841131741,0.03927800527378427,0.1382586108267338,0.09898060555294952,0.8533333333333334,0.040850223264270416,0.9866666666666667,0.07277385891861698
12,27,3,HALF_PRIOR_A0,0.2819091742016503,0.27717440586236464,75,0.2677345506498677,0.14994968648475665,0.08617088892696562,0.20314231846014116,0.11697142953317555,1.0,0.0,1.0,0.13273619776263668
12,27,4,NULL,0.0,0.034040401662240344,75,0.035076834830930104,0.02095706814494842,-0.027602555324400334,0.07077343473294093,0.09837599005734127,0.02666666666666667,0.01860306625462787,0.4666666666666667,-0.004281936733300868
12,27,4,QUARTER_PRIOR_A0,0.14095458710082515,0.14556025318232027,75,0.1396831592295001,0.07898241431248573,0.008664518020924177,0.14975642807161246,0.14109191005068827,0.30666666666666664,0.05324437024665578,0.92,0.0578899062285447
12,27,4,RHO_0_15,0.15,0.1521539215729696,75,0.15310892731167874,0.10263119419968893,0.04247436306279891,0.15069512865918597,0.10822076559638705,0.7466666666666667,0.050220255615379676,1.0,0.07921140525913159
12,27,4,HALF_PRIOR_A0,0.2819091742016503,0.2769471264067724,75,0.2662801159847855,0.15815473709443673,0.10667964437481317,0.22303761059165741,0.11635796621684424,1.0,0.0,1.0,0.1351534810447966
12,27,5,NULL,0.0,-0.0019259311406188478,75,-0.0016985180369364465,-0.004626186316907721,-0.04869928920543606,0.03606898845969021,0.08476827766512626,0.0,0.0,0.13333333333333333,-0.03049155913903619
12,27,5,QUARTER_PRIOR_A0,0.14095458710082515,0.14011626917626696,75,0.13818289414783758,0.08746771567943853,0.03193663506280935,0.15133161193789657,0.11939497687508721,0.7866666666666666,0.04730359002897803,0.9866666666666667,0.06338529232883401
12,27,5,RHO_0_15,0.15,0.15071611677082278,75,0.15081558513892288,0.100965649956078,0.04298318348469165,0.15720273072646473,0.11421954724177308,0.88,0.03752332607858744,1.0,0.07092442034438795
12,27,5,HALF_PRIOR_A0,0.2819091742016503,0.2779809565457998,75,0.2674654875175403,0.16535539138199215,0.09801000675971237,0.22934380698107898,0.1313338002213666,1.0,0.0,1.0,0.14300957656535618
12,27,6,NULL,0.0,0.09565411376980155,75,0.09231861642524146,0.06355470396465296,0.025692170375950677,0.10918003503896444,0.08348786466301376,0.32,0.05386402633793108,0.9866666666666667,0.04530844207903133
12,27,6,QUARTER_PRIOR_A0,0.14095458710082515,0.14545558807918088,75,0.14330516855238679,0.08665757717251965,0.03231808627414042,0.145507751622955,0.11318966534881458,0.68,0.05386402633793108,0.9733333333333334,0.06337833532986646
12,27,6,RHO_0_15,0.15,0.1492619944693001,75,0.14427016837095175,0.09205119116606328,0.05166541229357857,0.13915412898148197,0.0874887166879034,0.9333333333333333,0.028803291992923818,1.0,0.07150081247130159
12,27,6,HALF_PRIOR_A0,0.2819091742016503,0.28299532410400025,75,0.2688933184424495,0.16191056533120954,0.09297202376414287,0.2178173764765532,0.12484535271241032,1.0,0.0,1.0,0.13895050600523653
12,27,7,NULL,0.0,0.0003953496991635882,75,0.003532887803438469,0.0006692811594186343,-0.05710221981429105,0.04676788956924839,0.10387010938353944,0.0,0.0,0.28,-0.022220253333063284
12,27,7,QUARTER_PRIOR_A0,0.14095458710082515,0.14075754690173808,75,0.13503746148195991,0.07489726079660447,0.010474456878748168,0.13338300139735376,0.1229085445186056,0.5333333333333333,0.05760658398584764,0.9333333333333333,0.05224855754208671
12,27,7,RHO_0_15,0.15,0.1492384506487721,75,0.14346430768463306,0.09966543584298716,0.03569963967000909,0.16768604088351435,0.13198640121350527,0.8,0.04618802153517006,0.9866666666666667,0.07598389368465555
12,27,7,HALF_PRIOR_A0,0.2819091742016503,0.2831484754909993,75,0.27567000079800336,0.15837215354447043,0.09244248432889281,0.23111681032962758,0.13867432600073476,0.9466666666666667,0.025945812478802534,1.0,0.13430565328053093
16,34,0,NULL,0.0,0.038568753675523336,75,0.03701529673315226,0.02477199710955137,-0.020951752535516597,0.06317161171758413,0.08412336425310073,0.06666666666666667,0.02880329199292382,0.68,0.009469361925855102
16,34,0,QUARTER_PRIOR_A0,0.14095458710082515,0.13940387191182288,75,0.13429623750977682,0.08238071542734143,0.04378159397554853,0.13116408043777908,0.08738248646223054,0.96,0.02262741699796953,0.9866666666666667,0.0654296093883654
16,34,0,RHO_0_15,0.15,0.15347942985380517,75,0.1505910739772621,0.09741314032413642,0.06152345399712321,0.14186034082143573,0.08033688682431252,0.9866666666666667,0.0132441461562234,1.0,0.08045704466256363
16,34,0,HALF_PRIOR_A0,0.2819091742016503,0.2801810865191147,75,0.27081700040582374,0.16943143400650434,0.12444267369010081,0.2177262337359196,0.09328356004581878,1.0,0.0,1.0,0.15461832140824747
16,34,1,NULL,0.0,0.07069484354809208,75,0.0691565528721367,0.0436198634903938,-0.010443773379285159,0.09653922296657069,0.10698299634585585,0.30666666666666664,0.05324437024665578,0.84,0.023028367644442726
16,34,1,QUARTER_PRIOR_A0,0.14095458710082515,0.1370596010078064,75,0.1314064976368475,0.0809001790047137,0.027467427824903613,0.12766299163496655,0.10019556381006295,0.7333333333333333,0.05106277908033804,0.9866666666666667,0.06681938557213916
16,34,1,RHO_0_15,0.15,0.1486570449087487,75,0.14520390180771828,0.0901790825162742,0.048452980148302835,0.13992421196279936,0.09147123181449653,0.9333333333333333,0.028803291992923818,1.0,0.07261205554044005
16,34,1,HALF_PRIOR_A0,0.2819091742016503,0.28093890813109357,75,0.2755628767718727,0.1651371693375108,0.09949970300696334,0.2218627932902233,0.12236309028325995,1.0,0.0,1.0,0.14993889085338458
