K,N,target_rho,mean_true_rho,omnibus_rate,a2_attribution_rate,a2_superiority_rate,radial_rate,a2_rho_mean,a0_rho_mean,a1_rho_mean,a2_minus_best_static_mean,a2_rho_mc95_width,replicates,qap_permutations
24,200,0.0,0.018270151681625543,0.058333333333333334,0.058333333333333334,0.0,0.725,0.007065673918164216,0.001680584648325835,0.0033379744229059373,-0.0026476548028331686,0.20550899708484044,120,499
24,200,0.1,0.0912145755149993,0.15,0.1,0.008333333333333333,0.6333333333333333,0.04238254488364589,0.029885637670342448,0.03130061295330468,0.004199482112668804,0.18525249693613238,120,499
24,200,0.2,0.18939604647954986,0.425,0.35833333333333334,0.0,0.6333333333333333,0.08485940492679703,0.05805467826189716,0.06316536930717016,0.016912150870014128,0.1959118367907544,120,499
24,200,0.25,0.23850122952963948,0.5833333333333334,0.5416666666666666,0.008333333333333333,0.7166666666666667,0.10746074570341553,0.08048727951465562,0.08240800758062343,0.01942825274394773,0.20299500957936253,120,499
24,200,0.3,0.2764191744790551,0.725,0.6916666666666667,0.0,0.7666666666666667,0.12597808583242492,0.09060073550781808,0.09470380208646621,0.025358162064837365,0.21693542041496508,120,499
24,200,0.4,0.3682692907730578,0.9166666666666666,0.9,0.03333333333333333,0.7,0.1736420908217361,0.13181479642129454,0.1325511771937953,0.034279928585009826,0.20753252789294235,120,499
24,300,0.0,0.019179249725317846,0.041666666666666664,0.03333333333333333,0.0,0.925,0.011203322281513304,0.006352962037647314,0.007706261712616164,-0.0037541626845445696,0.17139130146100473,120,499
24,300,0.1,0.09574233624900709,0.25,0.16666666666666666,0.016666666666666666,0.9166666666666666,0.05574476181889966,0.04498051693903308,0.04544556673279194,0.0034104261029293237,0.19823968808628042,120,499
24,300,0.2,0.1921597722635236,0.5833333333333334,0.5583333333333333,0.008333333333333333,0.7916666666666666,0.10563762830182452,0.0803235677265521,0.08178324150202547,0.0170119692482071,0.17852119868407557,120,499
24,300,0.25,0.23727432304523807,0.7166666666666667,0.6583333333333333,0.016666666666666666,0.875,0.12854102026840233,0.09922763914450115,0.10030960738462165,0.020401842595880477,0.1992799552380093,120,499
24,300,0.3,0.28555923859533966,0.875,0.8416666666666667,0.041666666666666664,0.8666666666666667,0.1536370843519346,0.1138875974886186,0.11749622308810877,0.03063498140640019,0.18925324515354203,120,499
24,300,0.4,0.37617453137559864,0.95,0.95,0.075,0.8916666666666667,0.19042417674756262,0.13989502811088997,0.14385432934672296,0.04131310536523284,0.21483953117980498,120,499
32,200,0.0,0.015811022046256038,0.06666666666666667,0.03333333333333333,0.0,0.8666666666666667,0.0010357186707936502,0.0002882844560947713,-2.0103155898672925e-05,-0.00476002385456789,0.1457487573829065,120,499
32,200,0.1,0.09163127469607481,0.24166666666666667,0.19166666666666668,0.0,0.8583333333333333,0.04332066607863268,0.034135769642702485,0.03141629640030642,0.00439970230475031,0.12481545922697626,120,499
32,200,0.2,0.18488665497383128,0.6833333333333333,0.65,0.0,0.8083333333333333,0.08744479338629375,0.06472445678790588,0.059362825045541766,0.01907812159354979,0.1158001430740932,120,499
32,200,0.25,0.23355802663816075,0.8416666666666667,0.825,0.0,0.7916666666666666,0.10782333174633303,0.07776974016116643,0.0735310659732024,0.026085953765272903,0.14761496161331303,120,499
32,200,0.3,0.2783262105215195,0.9083333333333333,0.8833333333333333,0.008333333333333333,0.7583333333333333,0.12292907388111386,0.08954382699264093,0.08410967690571415,0.029317163318531913,0.1526458604130891,120,499
