left,right,same_family,same_source_location,same_direction_base,same_sign,dose_left,dose_right,same_dose,dose_difference,dose_mean,delta_norm_difference,delta_norm_mean,semantic_movement_difference,semantic_movement_mean,behavioral_D,M0_FLAT,M1_WHITENED,M2_FINITE_SECANT
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,True,False,False,False,D_LOW,D_LOW,True,0.0,0.25,3.181789773205076,9.409855473451572,0.0,0.0,0.008333333333333333,1.4839535412863547,1.470211253684564,0.030573587754359182
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_PLUS,True,False,False,True,D_LOW,D_VERY_HIGH,False,0.75,0.625,20.275091987342023,21.13829635372512,0.16666666666666666,0.08333333333333333,0.016666666666666666,1.3408511801477774,1.3559051845683248,0.04935607981532424
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_DECOMPOSE_THEN_SOLVE_EXECUTION_BOUNDARY_MINUS,False,True,False,False,D_LOW,D_VERY_HIGH,False,0.75,0.625,21.770040059531073,21.885770389819648,0.16666666666666666,0.08333333333333333,0.016666666666666666,1.5955909537843689,1.5949884267818855,0.07426967265955849
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_DECOMPOSE_THEN_SOLVE_EXECUTION_BOUNDARY_PLUS,False,True,False,True,D_LOW,D_LOW,True,0.0,0.25,2.8080527551578136,9.596723982475202,0.0,0.0,0.0,1.2058563381271783,1.2066531889618684,0.02261542507100179
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_DECOMPOSE_THEN_SOLVE_PROMPT_BOUNDARY_MINUS,False,False,False,False,D_LOW,D_MEDIUM,False,0.25,0.375,17.673515622771625,19.83750817143992,0.16666666666666666,0.08333333333333333,0.008333333333333333,1.4224284315448428,1.4153686083222656,0.06455715773062788
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_DECOMPOSE_THEN_SOLVE_PROMPT_BOUNDARY_PLUS,False,False,False,True,D_LOW,D_HIGH,False,0.5,0.5,32.01064861418449,27.006074667146358,0.25,0.125,0.03333333333333333,1.4059506951287015,1.4130575722793084,0.07549042778548294
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_EXPLICIT_STATE_TRACKING_EXECUTION_BOUNDARY_MINUS,False,True,False,False,D_LOW,D_LOW,True,0.0,0.25,0.4217773593087717,11.211639039708494,0.0,0.0,0.008333333333333333,1.4963534788376407,1.4913131054068647,0.03973653723680668
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_EXPLICIT_STATE_TRACKING_EXECUTION_BOUNDARY_PLUS,False,True,False,True,D_LOW,D_LOW,True,0.0,0.25,0.4217773593087717,11.211639039708494,0.0,0.0,-0.025,1.326998969996017,1.332660955247708,0.02893705103771081
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_EXPLICIT_STATE_TRACKING_PROMPT_BOUNDARY_MINUS,False,False,False,False,D_LOW,D_MEDIUM,False,0.25,0.375,22.399178081230584,22.2003394006694,0.16666666666666666,0.08333333333333333,0.016666666666666666,1.4290217070795916,1.4154311923829639,0.08683150957781333
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_EXPLICIT_STATE_TRACKING_PROMPT_BOUNDARY_PLUS,False,False,False,True,D_LOW,D_VERY_HIGH,False,0.75,0.625,55.799106522515274,38.90030362131175,0.16666666666666666,0.08333333333333333,0.025,1.399248712951107,1.4129948830867511,0.1378273231475265
