left_out_item_id,accuracy_difference,accuracy_difference_delta_from_full,controller_commitment_validity,commitment_validity_delta_from_full,G,G_delta_from_full,C,C_delta_from_full,D,D_delta_from_full
sample_27,0.17796610169491522,-0.005367231638418124,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.12383109292811223,0.006175725696473816,0.1694915254237288,0.0028248587570621486
sample_274,0.17796610169491534,-0.005367231638418013,0.9745762711864406,-0.0004237288135593431,0.19915254237288138,-0.005014124293785283,0.11681765049678552,-0.0008377167348528891,0.1694915254237288,0.0028248587570621486
sample_280,0.18644067796610175,0.003107344632768405,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.12134716540035068,0.0036917981687122625,0.1694915254237288,0.0028248587570621486
sample_283,0.1694915254237288,-0.013841807909604542,0.9745762711864406,-0.0004237288135593431,0.1906779661016949,-0.013488700564971756,0.11228813559322032,-0.005367231638418096,0.15254237288135594,-0.014124293785310715
sample_296,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_307,0.18644067796610175,0.003107344632768405,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.12134716540035068,0.0036917981687122625,0.1694915254237288,0.0028248587570621486
sample_320,0.1694915254237288,-0.013841807909604542,0.9745762711864406,-0.0004237288135593431,0.1906779661016949,-0.013488700564971756,0.11228813559322032,-0.005367231638418096,0.15254237288135594,-0.014124293785310715
sample_324,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_33,0.18644067796610175,0.003107344632768405,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.12134716540035068,0.0036917981687122625,0.1694915254237288,0.0028248587570621486
sample_342,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_386,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_396,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_425,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_430,0.19491525423728817,0.011581920903954823,0.9830508474576272,0.008050847457627186,0.2076271186440678,0.0034604519774011355,0.11389538281706604,-0.0037599844145723704,0.1694915254237288,0.0028248587570621486
sample_459,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_471,0.1694915254237288,-0.013841807909604542,0.9745762711864406,-0.0004237288135593431,0.1906779661016949,-0.013488700564971756,0.11228813559322032,-0.005367231638418096,0.15254237288135594,-0.014124293785310715
sample_473,0.18644067796610175,0.003107344632768405,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.12134716540035068,0.0036917981687122625,0.1694915254237288,0.0028248587570621486
sample_490,0.2033898305084746,0.02005649717514124,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.10965809468147283,-0.00799727255016558,0.15254237288135594,-0.014124293785310715
sample_497,0.1694915254237288,-0.013841807909604542,0.9745762711864406,-0.0004237288135593431,0.1906779661016949,-0.013488700564971756,0.11228813559322032,-0.005367231638418096,0.15254237288135594,-0.014124293785310715
sample_50,0.1694915254237288,-0.013841807909604542,0.9745762711864406,-0.0004237288135593431,0.1906779661016949,-0.013488700564971756,0.11228813559322032,-0.005367231638418096,0.15254237288135594,-0.014124293785310715
sample_504,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_549,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_59,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_591,0.18644067796610175,0.003107344632768405,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.12134716540035068,0.0036917981687122625,0.1694915254237288,0.0028248587570621486
