statistic,bin_left,bin_right,count,density
median_row_association,0.5013539155864388,0.5039575996784892,22,0.1689913155529965
median_row_association,0.5039575996784892,0.5065612837705394,30,0.23044270302682324
median_row_association,0.5065612837705394,0.5091649678625898,39,0.29957551393485743
median_row_association,0.5091649678625898,0.51176865195464,52,0.3994340185798269
median_row_association,0.51176865195464,0.5143723360466904,54,0.41479686544826416
median_row_association,0.5143723360466904,0.5169760201387408,71,0.5453810638301251
median_row_association,0.5169760201387408,0.519579704230791,88,0.6759652622120148
median_row_association,0.519579704230791,0.5221833883228414,69,0.5300182169616708
median_row_association,0.5221833883228414,0.5247870724148918,91,0.6990095325146674
median_row_association,0.5247870724148918,0.527390756506942,116,0.8910451183703831
median_row_association,0.527390756506942,0.5299944405989924,127,0.9755407761468434
median_row_association,0.5299944405989924,0.5325981246910427,146,1.1214878213971586
median_row_association,0.5325981246910427,0.535201808783093,196,1.5055589931085784
median_row_association,0.535201808783093,0.5378054928751433,172,1.3212048306870636
median_row_association,0.5378054928751433,0.5404091769671937,203,1.5593289571481042
median_row_association,0.5404091769671937,0.543012861059244,293,2.2506570662286403
median_row_association,0.543012861059244,0.5456165451512943,292,2.2429756427943173
median_row_association,0.5456165451512943,0.5482202292433446,297,2.28138275996555
median_row_association,0.5482202292433446,0.5508239133353949,328,2.5195068864264933
median_row_association,0.5508239133353949,0.5534275974274453,376,2.8882152112693946
median_row_association,0.5534275974274453,0.5560312815194955,457,3.5104105094419404
median_row_association,0.5560312815194955,0.5586349656115459,476,3.6563575546921063
median_row_association,0.5586349656115459,0.5612386497035962,525,4.0327473029694065
median_row_association,0.5612386497035962,0.5638423337956465,551,4.23246431225914
median_row_association,0.5638423337956465,0.5664460178876969,642,4.931473844773807
median_row_association,0.5664460178876969,0.5690497019797471,709,5.4461292148672555
median_row_association,0.5690497019797471,0.5716533860717975,775,5.9531031615260135
median_row_association,0.5716533860717975,0.5742570701638479,778,5.976147431828695
median_row_association,0.5742570701638479,0.5768607542558981,857,6.582979883132917
median_row_association,0.5768607542558981,0.5794644383479485,923,7.089953829791626
median_row_association,0.5794644383479485,0.5820681224399988,1024,7.865777596648565
median_row_association,0.5820681224399988,0.5846718065320491,1078,8.280574462097182
median_row_association,0.5846718065320491,0.5872754906240994,1127,8.656964210373957
median_row_association,0.5872754906240994,0.5898791747161498,1257,9.655549256823482
median_row_association,0.5898791747161498,0.5924828588082001,1262,9.69395637399503
median_row_association,0.5924828588082001,0.5950865429002504,1254,9.6325049865208
median_row_association,0.5950865429002504,0.5976902269923008,1373,10.546594375193827
median_row_association,0.5976902269923008,0.600293911084351,1406,10.800081348523783
median_row_association,0.600293911084351,0.6028975951764014,1463,11.237922484274268
median_row_association,0.6028975951764014,0.6055012792684517,1498,11.506772304472706
median_row_association,0.6055012792684517,0.608104963360502,1535,11.79098497153862
median_row_association,0.608104963360502,0.6107086474525523,1425,10.946028393774103
median_row_association,0.6107086474525523,0.6133123315446026,1526,11.721852160630576
median_row_association,0.6133123315446026,0.615916015636653,1467,11.268648178011176
median_row_association,0.615916015636653,0.6185196997287032,1474,11.322418142051248
median_row_association,0.6185196997287032,0.6211233838207536,1475,11.330099565484993
median_row_association,0.6211233838207536,0.623727067912804,1453,11.161108249931997
median_row_association,0.623727067912804,0.6263307520048542,1420,10.907621276602967
median_row_association,0.6263307520048542,0.6289344360969046,1388,10.661815726707234
median_row_association,0.6289344360969046,0.6315381201889549,1356,10.416010176811966
median_row_association,0.6315381201889549,0.6341418042810052,1188,9.1255310398622
median_row_association,0.6341418042810052,0.6367454883730556,1202,9.233070967940991
median_row_association,0.6367454883730556,0.6393491724651059,1190,9.140893886730266
median_row_association,0.6393491724651059,0.6419528565571562,1043,8.011724641899221
median_row_association,0.6419528565571562,0.6445565406492065,942,7.235900875041941
