fixture_id,comparison,alpha,output_index,top1_agreement,vocabulary_js,target_logp_abs_difference,logit_cosine,max_abs_logit_difference
G12_1_FIXTURE_02,E0_vs_E1,NO_HOOK,0,1,0.00021828299044713173,0.05946410142695946,0.9999862025167402,0.1875
G12_1_FIXTURE_02,E0_vs_E1,NO_HOOK,1,1,0.00016307178018307934,0.05398643392134872,0.9999765761801462,0.1875
G12_1_FIXTURE_02,E0_vs_E1,NO_HOOK,2,1,0.00030101349909271896,0.0004539687388529501,0.9999885989144481,0.25
G12_1_FIXTURE_02,E0_vs_E1,NO_HOOK,3,1,0.00023938874487927,0.04979789851840799,0.9999498091251211,0.15625
G12_1_FIXTURE_02,E0_vs_E1,NO_HOOK,4,1,0.00016346975396882419,0.043860176878812496,0.9999785557175159,0.1875
G12_1_FIXTURE_02,E0_vs_E1,NO_HOOK,5,1,0.0001374505977306852,0.01871250351364573,0.9999797699694416,0.15625
G12_1_FIXTURE_02,E0_vs_E1,NO_HOOK,6,1,0.00018296183726263532,0.13883962123059135,0.9999722738975104,0.25
G12_1_FIXTURE_02,E0_vs_E1,NO_HOOK,7,1,0.00017780745522338534,0.0903557620296116,0.9999378642400532,0.1875
G12_1_FIXTURE_02,E0_vs_E1,NO_HOOK,8,1,0.00019156966343845087,0.00842802146871513,0.999972779017158,0.25
G12_1_FIXTURE_02,E1_vs_E2,NO_HOOK,0,1,0.00011928671693938126,0.007120182308366196,0.9999877073235556,0.140625
G12_1_FIXTURE_02,E1_vs_E2,NO_HOOK,1,1,0.00018317080466401838,0.0018760750532624826,0.99997689067373,0.1875
G12_1_FIXTURE_02,E1_vs_E2,NO_HOOK,2,1,0.0003167701450356591,0.041211853175790125,0.9999816408714098,0.25
G12_1_FIXTURE_02,E1_vs_E2,NO_HOOK,3,1,0.00047060245082355154,0.05142404244797305,0.9999324703118274,0.1875
G12_1_FIXTURE_02,E1_vs_E2,NO_HOOK,4,1,0.00019328873221694605,0.06023140551787698,0.9999846087948981,0.1875
G12_1_FIXTURE_02,E1_vs_E2,NO_HOOK,5,1,0.00010823974551972823,0.005911077651969521,0.9999812528348888,0.138671875
G12_1_FIXTURE_02,E1_vs_E2,NO_HOOK,6,1,0.0003281303575021657,0.10691388969123139,0.9999746845751362,0.125
G12_1_FIXTURE_02,E1_vs_E2,NO_HOOK,7,1,0.00013416717196594396,0.03024852069025208,0.9999503777461616,0.15625
G12_1_FIXTURE_02,E1_vs_E2,NO_HOOK,8,1,0.00012788443965337868,0.011407894106442384,0.9999812232793188,0.1875
G12_1_FIXTURE_02,E0_vs_E1,0,0,1,0.00021828299044713173,0.05946410142695946,0.9999862025167402,0.1875
G12_1_FIXTURE_02,E0_vs_E1,0,1,1,0.00016307178018307934,0.05398643392134872,0.9999765761801462,0.1875
G12_1_FIXTURE_02,E0_vs_E1,0,2,1,0.00030101349909271896,0.0004539687388529501,0.9999885989144481,0.25
G12_1_FIXTURE_02,E0_vs_E1,0,3,1,0.00023938874487927,0.04979789851840799,0.9999498091251211,0.15625
G12_1_FIXTURE_02,E0_vs_E1,0,4,1,0.00016346975396882419,0.043860176878812496,0.9999785557175159,0.1875
G12_1_FIXTURE_02,E0_vs_E1,0,5,1,0.0001374505977306852,0.01871250351364573,0.9999797699694416,0.15625
G12_1_FIXTURE_02,E0_vs_E1,0,6,1,0.00018296183726263532,0.13883962123059135,0.9999722738975104,0.25
G12_1_FIXTURE_02,E0_vs_E1,0,7,1,0.00017780745522338534,0.0903557620296116,0.9999378642400532,0.1875
G12_1_FIXTURE_02,E0_vs_E1,0,8,1,0.00019156966343845087,0.00842802146871513,0.999972779017158,0.25
