fixture_id,direction_index,epsilon,jvp_cosine,jvp_norm_relative_error,fisher_relative_error,utility_relative_error,local_kl_relative_error,q_finite,u_finite,local_kl_q
G12_1_FIXTURE_08,0,0.003,0.8987675728724779,0.18155120713679576,1.6273054326508152,0.3714372855784369,2.8699117971635504,1.8549435854541905e-06,0.00026158004384602954,2.7322548704127347e-06
G12_1_FIXTURE_08,0,0.01,0.9864048795660655,0.018342262882469294,0.25809933933198553,0.09238650278700951,0.6657612707313614,8.882497140819428e-07,0.0003777086565096418,1.1760692706837735e-06
G12_1_FIXTURE_08,0,0.03,0.9984000854072068,0.008926764518936805,0.036417624569427806,0.4263265352052786,0.06941433860582892,7.31736858857339e-07,0.0005935741160865664,7.550333672427892e-07
G12_1_FIXTURE_08,0,0.1,0.9998311662309133,0.0015476885197065666,0.003613572635344231,0.1450143565950543,0.020611415234791524,7.034738287770778e-07,0.0003558072678482107,6.91472925226023e-07
G12_1_FIXTURE_09,1,0.0001,0.26748656384529473,2.8895949502349634,22.921959489932814,0.08468764993493025,75.27044372773062,5.676466993136664e-05,0.0009904948931347985,0.0001809829401954088
G12_1_FIXTURE_09,1,0.0003,0.5115907434591409,0.8220405656114838,3.1955133782432372,5.425968794518889,10.533848441529111,9.955577937034591e-06,-0.004789512004107983,2.73687905916459e-05
G12_1_FIXTURE_09,1,0.001,0.8404658230497347,0.20737548712011328,0.5215804199090196,0.11575229434438664,1.4550198488356332,3.6105742235084916e-06,0.0009568786400137436,5.825542487552292e-06
G12_1_FIXTURE_09,1,0.003,0.9486220212511618,0.11376560462262532,0.04215261879777991,0.600827511451039,0.3832755193588899,2.4729349386725966e-06,0.0017323173611382178,3.2823890665641994e-06
G12_1_FIXTURE_09,1,0.01,0.9938210095349542,0.013039633795072756,0.01824579242248884,0.28136704313846117,0.13931107357591052,2.4162061782685425e-06,0.0013866168334445133,2.703483260554137e-06
G12_1_FIXTURE_09,1,0.03,0.9996358021728348,0.0005536465240196111,0.0015402680459118074,0.009685164740041606,0.026934118096607954,2.3692556267385357e-06,0.0010926193657038305,2.4368227978792872e-06
G12_1_FIXTURE_09,1,0.1,0.9998980767111529,0.0031280589875923048,0.0004251844161409238,0.005004386948480383,0.008630991636102925,2.371901620442206e-06,0.0010767232337125093,2.393391116094195e-06
G12_1_FIXTURE_10,0,0.0001,0.06199975136372148,6.706095748709435,58.2881408343409,13.791505019216377,194.76102344030826,0.00012516510004945114,-0.019171177301416074,0.00041327738970854726
G12_1_FIXTURE_10,0,0.0003,0.3081886857852019,1.9215690229547486,12.233584547167823,2.922396814647663,30.61162664861635,2.793784575716904e-05,0.0058786643688255105,6.673632123590182e-05
G12_1_FIXTURE_10,0,0.001,0.6034694472301576,0.6138469734010602,3.138763414342872,1.320135205008744,6.285272995243059,8.73747649272181e-06,0.0034772861607495847,1.538017401970873e-05
G12_1_FIXTURE_10,0,0.003,0.8873382581634297,0.12209633423761611,0.4902230244043764,0.6098869166878289,1.4153643834300493,3.1460577329746696e-06,0.002412806582860032,5.0991533965051156e-06
G12_1_FIXTURE_10,0,0.01,0.9822054830853736,0.024158591166665876,0.021565344331944823,0.402045885068973,0.3748899905354296,2.156659438649462e-06,0.0008961794830422785,2.902574457566377e-06
G12_1_FIXTURE_10,0,0.03,0.9980198385256452,0.0019519928100504905,0.0175851383058386,0.03951250420975922,0.02227088148269637,2.0740075961834538e-06,0.0015579619829962097,2.1581489208092952e-06
G12_1_FIXTURE_10,0,0.1,0.9998077464263819,0.00015258441156103982,0.001616305191649732,0.020638117404774503,0.0047746294403977485,2.114544380819226e-06,0.0015296741298194115,2.1212120206713123e-06
G12_1_FIXTURE_11,1,0.0001,0.5778240474890992,3.2667133208405352,11.016973384726233,6.625784894320146,26.160257986108586,5.0750417338858174e-05,-0.0019520348342176265,0.00011470395944939248
G12_1_FIXTURE_11,1,0.0003,0.7482246961256401,0.5448815508288971,1.5930021712477151,1.2997593402615661,4.033573775488271,1.0950839128814874e-05,0.0007979704924445795,2.1257929233383375e-05
G12_1_FIXTURE_11,1,0.001,0.66194844132879,0.03292162186836456,0.14557988805155958,0.9706879240432179,0.4686201351775302,4.838044951278185e-06,1.0170704071646897e-05,6.202317537562555e-06
G12_1_FIXTURE_11,1,0.003,0.9801056079533587,0.06660408068008607,0.0007105469386365056,0.8992942034820002,0.0853636138785091,4.2202271039097325e-06,3.49428971252062e-05,4.583737901821153e-06
G12_1_FIXTURE_11,1,0.01,0.9993956585498959,0.004147508518689623,0.01644746797731923,0.1046327541177723,0.02694759871576856,4.292689311306969e-06,0.00031067452563715917,4.337033756453713e-06
G12_1_FIXTURE_11,1,0.03,0.9998203312050569,0.007476465800597057,0.00299375464032433,0.011035410537063367,0.0011628986872364811,4.235871213708644e-06,0.00035080906523610785,4.218316719381912e-06
G12_1_FIXTURE_11,1,0.1,0.9999572269964971,0.0050686824323960735,0.00021749481379693366,0.026203936984600242,0.0005191859088622228,4.224146435736143e-06,0.0003560722405201891,4.225420545987684e-06
