fixture_id,dtype,layer,component,token_index,max_abs_difference,rms_difference
G12_1_FIXTURE_00,BF16,15,residual,1,0.0,0.0
G12_1_FIXTURE_00,BF16,15,residual,2,0.0,0.0
G12_1_FIXTURE_00,BF16,15,residual,3,0.0,0.0
G12_1_FIXTURE_00,BF16,15,residual,4,0.0,0.0
G12_1_FIXTURE_00,BF16,15,residual,5,0.0,0.0
G12_1_FIXTURE_00,BF16,15,residual,6,0.25,0.014592939412304924
G12_1_FIXTURE_00,BF16,16,attention,0,0.0,0.0
G12_1_FIXTURE_00,BF16,16,attention,1,0.0,0.0
G12_1_FIXTURE_00,BF16,16,attention,2,0.0,0.0
G12_1_FIXTURE_00,BF16,16,attention,3,0.0,0.0
G12_1_FIXTURE_00,BF16,16,attention,4,0.0,0.0
G12_1_FIXTURE_00,BF16,16,attention,5,0.0,0.0
G12_1_FIXTURE_00,BF16,16,attention,6,0.03515625,0.0036889842895211637
G12_1_FIXTURE_00,BF16,16,mlp,0,0.0,0.0
G12_1_FIXTURE_00,BF16,16,mlp,1,0.0,0.0
G12_1_FIXTURE_00,BF16,16,mlp,2,0.0,0.0
G12_1_FIXTURE_00,BF16,16,mlp,3,0.0,0.0
G12_1_FIXTURE_00,BF16,16,mlp,4,0.0,0.0
G12_1_FIXTURE_00,BF16,16,mlp,5,0.0,0.0
G12_1_FIXTURE_00,BF16,16,mlp,6,0.0546875,0.006287665857478331
G12_1_FIXTURE_00,BF16,16,residual,0,0.0,0.0
G12_1_FIXTURE_00,BF16,16,residual,1,0.0,0.0
G12_1_FIXTURE_00,BF16,16,residual,2,0.0,0.0
G12_1_FIXTURE_00,BF16,16,residual,3,0.0,0.0
G12_1_FIXTURE_00,BF16,16,residual,4,0.0,0.0
G12_1_FIXTURE_00,BF16,16,residual,5,0.0,0.0
G12_1_FIXTURE_00,BF16,16,residual,6,0.25,0.014641593295628518
G12_1_FIXTURE_00,BF16,17,attention,0,0.0,0.0
G12_1_FIXTURE_00,BF16,17,attention,1,0.0,0.0
G12_1_FIXTURE_00,BF16,17,attention,2,0.0,0.0
G12_1_FIXTURE_00,BF16,17,attention,3,0.0,0.0
G12_1_FIXTURE_00,BF16,17,attention,4,0.0,0.0
G12_1_FIXTURE_00,BF16,17,attention,5,0.0,0.0
