route,S,N,R,K_reference,K_fresh,controller_split_role,subspace_sd,generic_random_mean,scenario,learned_advantage,measurement_sd,rejection_rate,wilson_low,wilson_high,mean_contrast,contrast_bias,contrast_sd,random_mean_interval_width_approx,leave_one_subspace_rejection_stability,minimum_attainable_p,minimum_attainable_p_after_one_deletion
ROUTE_1,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.55,NULL,0.0,0.06,0.0497,0.04677361416941829,0.052799333502709545,-0.0013922369884618406,-0.0013922369884618406,0.20830031216855188,0.12928400413163674,0.0208,0.025,0.02564102564102564
ROUTE_1,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.55,MODEST_0_05,0.05,0.06,0.07645,0.07284821350106967,0.08021446024205657,0.046826548034530915,-0.0031734519654690874,0.20918995821121697,0.12929019687874976,0.035,0.025,0.02564102564102564
ROUTE_1,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.55,MODEST_0_10,0.1,0.06,0.1094,0.10514880837763653,0.11380121018939239,0.09555897406840297,-0.004441025931597037,0.200814826284888,0.12944400270864695,0.05165,0.025,0.02564102564102564
ROUTE_1,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.55,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.06,0.2008,0.19530577953982953,0.20640913483614348,0.17530316553826705,-0.005990312548102256,0.1932534705548325,0.1289999552823932,0.1002,0.025,0.02564102564102564
ROUTE_1,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.55,FIFTY_PERCENT_OF_OBSERVED,0.3625869561727386,0.06,0.46765,0.46074187345614104,0.4745705512766889,0.31669307703300703,-0.045893879139731586,0.1548107642443928,0.12922201131495056,0.25425,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.15,NULL,0.0,0.06,0.0495,0.04657939854423662,0.05259362594231365,0.0003126734682542005,0.0003126734682542005,0.10719753359875955,0.07323116369036353,0.02385,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.15,MODEST_0_05,0.05,0.06,0.11385,0.10952192044515134,0.11832638900097826,0.050992927431796925,0.0009929274317969222,0.10848654491744018,0.07329420451574063,0.06415,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.15,MODEST_0_10,0.1,0.06,0.2279,0.22213901809847486,0.23376548792325724,0.10039449196200782,0.00039449196200781744,0.10809281338039513,0.07324028093212406,0.13705,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.15,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.06,0.4836,0.47667802311614127,0.4905282756664989,0.18127382361660058,-1.9654469768731753e-05,0.10945602145298039,0.07313770000319678,0.3468,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.15,FIFTY_PERCENT_OF_OBSERVED,0.3625869561727386,0.06,0.941,0.9376489958501165,0.9441816283483991,0.36343242514067353,0.0008454689679349148,0.10837642131323506,0.0731951492803816,0.8703,0.025,0.02564102564102564
