scenario,nominal_rho,N,repetitions,achieved_true_rho_mean,observed_rho_mean,observed_rho_q025,observed_rho_q975,observed_interval_width,estimation_bias,estimation_rmse,median_item_bootstrap_width,bootstrap_lower_positive_rate,global_qap_rejection_rate,m2_maxT_rejection_rate,family_3of4_rate,family_4of4_rate,both_shells_positive_rate,lodo_8of8_rate,lodo_7of8_rate,rho_gate_rate,recommended_full_gate_rate
BALANCED,0.4,200,240,0.40054794238073504,0.2555549639520435,-0.05821918396485784,0.47524804258819714,0.533467226553055,-0.1449929784286915,0.20716643508533794,0.32953452797202804,0.6291666666666667,0.375,0.25833333333333336,0.9,0.6541666666666667,0.7958333333333333,0.7708333333333334,0.8708333333333333,0.575,0.25416666666666665
BALANCED,0.4,300,240,0.40054794238073504,0.2719664817851239,-0.018882288117459747,0.4762807599436684,0.49516304806112815,-0.12858146059561112,0.18321606040998295,0.3049606643356643,0.7125,0.37083333333333335,0.2625,0.9,0.6666666666666666,0.8458333333333333,0.8333333333333334,0.9125,0.6125,0.25833333333333336
BALANCED,0.4,400,240,0.40054794238073504,0.2859903482220096,-0.007211784286362535,0.4839942736260965,0.491206057912459,-0.11455759415872542,0.1696737975239625,0.2938920454545455,0.7541666666666667,0.4,0.30416666666666664,0.9333333333333333,0.7083333333333334,0.85,0.8583333333333333,0.925,0.6625,0.3
HETEROGENEOUS,0.0,200,240,-0.007641317016317016,-0.028221969357398506,-0.2887021860428597,0.29352697564243724,0.5822291616852969,-0.020580652341081484,0.13727099843141305,0.33690996503496506,0.058333333333333334,0.05416666666666667,0.016666666666666666,0.325,0.09166666666666666,0.2125,0.11666666666666667,0.19583333333333333,0.0375,0.016666666666666666
HETEROGENEOUS,0.0,300,240,-0.007641317016317016,-0.020875195804014327,-0.27933524939265003,0.26688000788330163,0.5462152572759517,-0.01323387878769731,0.12341795046898425,0.31543924825174824,0.07083333333333333,0.0375,0.004166666666666667,0.32083333333333336,0.10416666666666667,0.2,0.1125,0.2,0.0375,0.004166666666666667
HETEROGENEOUS,0.0,400,240,-0.007641317016317016,-0.020101535608752347,-0.28723429277959683,0.2537306618988289,0.5409649546784258,-0.012460218592435329,0.11010735956655467,0.2968203671328672,0.09166666666666666,0.03333333333333333,0.004166666666666667,0.30416666666666664,0.0875,0.19583333333333333,0.11666666666666667,0.21666666666666667,0.03333333333333333,0.004166666666666667
HETEROGENEOUS,0.1,200,240,0.1290792540792541,0.08470731827356147,-0.14493742729219933,0.3468583528366342,0.4917957801288335,-0.04437193580569261,0.125245368412604,0.3375655594405595,0.13333333333333333,0.04583333333333333,0.03333333333333333,0.5625,0.23333333333333334,0.42083333333333334,0.32916666666666666,0.5041666666666667,0.08333333333333333,0.03333333333333333
HETEROGENEOUS,0.1,300,240,0.1290792540792541,0.09327115310203245,-0.11768684578739662,0.31247713188599363,0.43016397767339026,-0.035808100977221625,0.11676641122043217,0.3193291083916084,0.19583333333333333,0.05,0.025,0.5958333333333333,0.24166666666666667,0.44166666666666665,0.37083333333333335,0.5458333333333333,0.09166666666666666,0.025
HETEROGENEOUS,0.1,400,240,0.1290792540792541,0.09475343260778285,-0.12995454424015035,0.3261882131193862,0.4561427573595365,-0.03432582147147122,0.1085205712116127,0.3057255244755246,0.24166666666666667,0.05416666666666667,0.020833333333333332,0.6208333333333333,0.225,0.4166666666666667,0.35,0.5333333333333333,0.07916666666666666,0.020833333333333332
HETEROGENEOUS,0.2,200,240,0.20951704545454544,0.13138813567850124,-0.10763946063114639,0.3574122920577732,0.4650517526889196,-0.07812890977604421,0.14233730723848803,0.33025568181818177,0.32916666666666666,0.10833333333333334,0.05416666666666667,0.7041666666666667,0.3333333333333333,0.5166666666666667,0.49583333333333335,0.6583333333333333,0.18333333333333332,0.05416666666666667
HETEROGENEOUS,0.2,300,240,0.20951704545454544,0.14554760675512038,-0.09856325137598601,0.3511491799106217,0.44971243128660776,-0.0639694386994251,0.12894536699312703,0.30704763986013983,0.3958333333333333,0.0875,0.058333333333333334,0.775,0.37083333333333335,0.5583333333333333,0.5375,0.725,0.16666666666666666,0.05416666666666667
HETEROGENEOUS,0.2,400,240,0.20951704545454544,0.14605766016595362,-0.11541154817129927,0.34240290477261387,0.45781445294391315,-0.06345938528859182,0.12727894804946524,0.29736669580419584,0.475,0.09166666666666666,0.058333333333333334,0.7416666666666667,0.375,0.6083333333333333,0.5458333333333333,0.7375,0.175,0.058333333333333334
HETEROGENEOUS,0.25,200,240,0.25340544871794873,0.1547279174586572,-0.12608211760340166,0.3691389490500878,0.4952210666534895,-0.09867753125929157,0.1618877978537908,0.34549825174825166,0.36666666666666664,0.12916666666666668,0.075,0.7833333333333333,0.3958333333333333,0.6333333333333333,0.575,0.7458333333333333,0.2125,0.0625
HETEROGENEOUS,0.25,300,240,0.25340544871794873,0.16492108606238312,-0.06039927256308783,0.3626558141024234,0.4230550866655113,-0.0884843626555656,0.14242435310433355,0.325743006993007,0.4708333333333333,0.1125,0.058333333333333334,0.7958333333333333,0.4083333333333333,0.6208333333333333,0.575,0.7416666666666667,0.225,0.05416666666666667
HETEROGENEOUS,0.25,400,240,0.25340544871794873,0.17812474551349264,-0.08015233198600401,0.3464084378812578,0.4265607698672618,-0.07528070320445608,0.13274742793617444,0.3040100524475524,0.5458333333333333,0.1375,0.07916666666666666,0.8583333333333333,0.48333333333333334,0.675,0.6625,0.7916666666666666,0.24166666666666667,0.07916666666666666
HETEROGENEOUS,0.3,200,240,0.30336174242424246,0.20290086411947408,-0.07684333558712442,0.4095210912483487,0.4863644268354731,-0.10046087830476834,0.16671067297383355,0.33696459790209793,0.525,0.22083333333333333,0.14583333333333334,0.8583333333333333,0.5166666666666667,0.725,0.675,0.8208333333333333,0.42916666666666664,0.14166666666666666
HETEROGENEOUS,0.3,300,240,0.30336174242424246,0.2184527662407874,-0.0637929924383494,0.4321434519281783,0.49593644436652773,-0.08490897618345498,0.14902281578422813,0.3109702797202798,0.625,0.20416666666666666,0.13333333333333333,0.8916666666666667,0.55,0.7833333333333333,0.7166666666666667,0.8625,0.44583333333333336,0.13333333333333333
